ID,TableIndex,Season,League Rank,Squad,NumPlayers,Avg_Age,Avg_Poss,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance,Annual Wages,League,gf2,ga2,gfga,Available_Points,Pythagorean_%,Predicted_Points,Difference
170,81,2021-2022,2,Liverpool,83,27.7,62.7,38,28,8,2,94,26,68,92,2.42,88.7,33.8,54.9,1.45,53352,175492521,EPL,8836,676,9512,114,0.928931876,105.8982338,-13.89823381
171,82,2021-2022,3,Chelsea,81,27.4,61.8,38,21,11,6,76,33,43,74,1.95,63.4,33.2,30.1,0.79,36443,213745254,EPL,5776,1089,6865,114,0.841369264,95.91609614,-21.91609614
172,83,2021-2022,4,Tottenham,67,26.5,51.8,38,22,5,11,69,40,29,71,1.87,61.2,39.3,21.9,0.58,56523,133905224,EPL,4761,1600,6361,114,0.748467222,85.32526332,-14.32526332
173,84,2021-2022,5,Arsenal,70,24.4,52.8,38,22,3,13,61,48,13,69,1.82,60.5,45.7,14.9,0.39,59665,138984848,EPL,3721,2304,6025,114,0.617593361,70.40564315,-1.405643154
174,85,2021-2022,6,Manchester Utd,82,27.2,52.7,38,16,10,12,57,57,0,58,1.53,55.8,53,2.8,0.07,73150,290255583,EPL,3249,3249,6498,114,0.5,57,1
175,86,2021-2022,7,West Ham,74,28.2,47.9,38,16,8,14,60,51,9,56,1.47,51.4,53.5,-2.1,-0.06,58370,90602030,EPL,3600,2601,6201,114,0.580551524,66.18287373,-10.18287373
176,87,2021-2022,8,Leicester City,82,26.5,52,38,14,10,14,62,59,3,52,1.37,47.8,59.3,-11.5,-0.3,32493,90376000,EPL,3844,3481,7325,114,0.524778157,59.8247099,-7.824709898
177,88,2021-2022,10,Wolves,76,27.3,49.5,38,15,6,17,38,43,-5,51,1.34,37.5,56.9,-19.4,-0.51,30841,69595717,EPL,1444,1849,3293,114,0.438505922,49.98967507,1.010324932
178,89,2021-2022,9,Brighton,76,26.2,54.4,38,12,15,11,42,44,-2,51,1.34,46.2,42.9,3.3,0.09,30966,56471332,EPL,1764,1936,3700,114,0.476756757,54.35027027,-3.35027027
179,90,2021-2022,11,Newcastle Utd,80,27.5,40.4,38,13,10,15,44,62,-18,49,1.29,38.1,57.1,-19,-0.5,51487,83327721,EPL,1936,3844,5780,114,0.334948097,38.18408304,10.81591696
