league,seasons,league_rank,squad,player,goals,team_total,league_total,goals_rank
Bundesliga,2021-2022,5,Union Berlin,Andreas Voglsammer,2,50,954,11
Bundesliga,2021-2022,5,Union Berlin,AndrÃ¡s SchÃ¤fer,1,50,954,12
Bundesliga,2021-2022,5,Union Berlin,Timo Baumgartl,1,50,954,13
Bundesliga,2021-2022,5,Union Berlin,Frederik RÃ¸nnow,0,50,954,14
Bundesliga,2021-2022,5,Union Berlin,Robin Knoche,0,50,954,15
Bundesliga,2021-2022,5,Union Berlin,Rani Khedira,0,50,954,16
Bundesliga,2021-2022,5,Union Berlin,Paul Jaeckel,0,50,954,17
Bundesliga,2021-2022,5,Union Berlin,Marvin Friedrich,0,50,954,18
Bundesliga,2021-2022,5,Union Berlin,Marcus Ingvartsen,0,50,954,19
Bundesliga,2021-2022,5,Union Berlin,Levin Ã–ztunalÄ±,0,50,954,20
Bundesliga,2021-2022,5,Union Berlin,Keita Endo,0,50,954,21
Bundesliga,2021-2022,5,Union Berlin,Dominique Heintz,0,50,954,22
Bundesliga,2021-2022,5,Union Berlin,Cedric Teuchert,0,50,954,23
Bundesliga,2021-2022,5,Union Berlin,Bastian Oczipka,0,50,954,24
Bundesliga,2021-2022,5,Union Berlin,Anthony Ujah,0,50,954,25
Bundesliga,2021-2022,5,Union Berlin,Andreas Luthe,0,50,954,26
Bundesliga,2021-2022,5,Union Berlin,Kevin MÃ¶hwald,0,50,954,27
Bundesliga,2021-2022,5,Union Berlin,Sebastian Griesbeck,0,50,954,28
Bundesliga,2021-2022,6,Freiburg,Vincenzo Grifo,9,58,954,1
Bundesliga,2021-2022,6,Freiburg,Lucas HÃ¶ler,7,58,954,2
Bundesliga,2021-2022,6,Freiburg,Nils Petersen,5,58,954,3
Bundesliga,2021-2022,6,Freiburg,Jeong Woo-yeong,5,58,954,4
Bundesliga,2021-2022,6,Freiburg,Philipp Lienhart,5,58,954,5
Bundesliga,2021-2022,6,Freiburg,Roland Sallai,4,58,954,6
Bundesliga,2021-2022,6,Freiburg,Nico Schlotterbeck,4,58,954,7
Bundesliga,2021-2022,6,Freiburg,Kevin Schade,4,58,954,8
Bundesliga,2021-2022,6,Freiburg,Janik Haberer,3,58,954,9
Bundesliga,2021-2022,6,Freiburg,Ermedin DemiroviÄ‡,2,58,954,10
Bundesliga,2021-2022,6,Freiburg,Nicolas HÃ¶fler,2,58,954,11
Bundesliga,2021-2022,6,Freiburg,Lukas KÃ¼bler,2,58,954,12
Bundesliga,2021-2022,6,Freiburg,Christian GÃ¼nter,2,58,954,13
Bundesliga,2021-2022,6,Freiburg,Maximilian Eggestein,1,58,954,14
Bundesliga,2021-2022,6,Freiburg,Mark Flekken,0,58,954,15
Bundesliga,2021-2022,6,Freiburg,Benjamin Uphoff,0,58,954,16
Bundesliga,2021-2022,6,Freiburg,Vincent Vermeij,0,58,954,17
Bundesliga,2021-2022,6,Freiburg,Baptiste Santamaria,0,58,954,18
Bundesliga,2021-2022,6,Freiburg,Yannik Keitel,0,58,954,19
Bundesliga,2021-2022,6,Freiburg,Dominique Heintz,0,58,954,20
Bundesliga,2021-2022,6,Freiburg,Hugo Siquet,0,58,954,21
Bundesliga,2021-2022,6,Freiburg,Jonathan Schmid,0,58,954,22
Bundesliga,2021-2022,6,Freiburg,Keven Schlotterbeck,0,58,954,23
Bundesliga,2021-2022,6,Freiburg,Kiliann Sildillia,0,58,954,24
Bundesliga,2021-2022,6,Freiburg,Manuel Gulde,0,58,954,25
Bundesliga,2021-2022,6,Freiburg,Noah WeiÃŸhaupt,0,58,954,26
EPL,2017-2018,1,Manchester City,Sergio AgÃ¼ero,21,106,1018,1
EPL,2017-2018,1,Manchester City,Raheem Sterling,18,106,1018,2
EPL,2017-2018,1,Manchester City,Gabriel Jesus,13,106,1018,3
EPL,2017-2018,1,Manchester City,Leroy SanÃ©,10,106,1018,4
EPL,2017-2018,1,Manchester City,David Silva,9,106,1018,5
EPL,2017-2018,1,Manchester City,Kevin De Bruyne,8,106,1018,6
EPL,2017-2018,1,Manchester City,Bernardo Silva,6,106,1018,7
EPL,2017-2018,1,Manchester City,Fernandinho,5,106,1018,8
EPL,2017-2018,1,Manchester City,Ä°lkay GÃ¼ndoÄŸan,4,106,1018,9
EPL,2017-2018,1,Manchester City,NicolÃ¡s Otamendi,4,106,1018,10
EPL,2017-2018,1,Manchester City,Danilo,3,106,1018,11
EPL,2017-2018,1,Manchester City,Fabian Delph,1,106,1018,12
EPL,2017-2018,1,Manchester City,Vincent Kompany,1,106,1018,13
EPL,2017-2018,1,Manchester City,Claudio Bravo,0,106,1018,14
EPL,2017-2018,1,Manchester City,Kyle Walker,0,106,1018,15
EPL,2017-2018,1,Manchester City,Brahim DÃ­az,0,106,1018,16
EPL,2017-2018,1,Manchester City,Ederson,0,106,1018,17
EPL,2017-2018,1,Manchester City,Eliaquim Mangala,0,106,1018,18
EPL,2017-2018,1,Manchester City,Aymeric Laporte,0,106,1018,19
EPL,2017-2018,1,Manchester City,Yaya TourÃ©,0,106,1018,20
EPL,2017-2018,1,Manchester City,Phil Foden,0,106,1018,21
EPL,2017-2018,1,Manchester City,Benjamin Mendy,0,106,1018,22
EPL,2017-2018,1,Manchester City,Oleksandr Zinchenko,0,106,1018,23
EPL,2017-2018,1,Manchester City,Lukas Nmecha,0,106,1018,24
EPL,2017-2018,1,Manchester City,John Stones,0,106,1018,25
EPL,2017-2018,2,Manchester Utd,Romelu Lukaku,16,68,1018,1
EPL,2017-2018,2,Manchester Utd,Anthony Martial,9,68,1018,2
EPL,2017-2018,2,Manchester Utd,Jesse Lingard,8,68,1018,3
EPL,2017-2018,2,Manchester Utd,Marcus Rashford,7,68,1018,4
EPL,2017-2018,2,Manchester Utd,Paul Pogba,6,68,1018,5
EPL,2017-2018,2,Manchester Utd,Marouane Fellaini,4,68,1018,6
EPL,2017-2018,2,Manchester Utd,Chris Smalling,4,68,1018,7
EPL,2017-2018,2,Manchester Utd,Juan Mata,3,68,1018,8
EPL,2017-2018,2,Manchester Utd,Antonio Valencia,3,68,1018,9
EPL,2017-2018,2,Manchester Utd,Ashley Young,2,68,1018,10
EPL,2017-2018,2,Manchester Utd,Alexis SÃ¡nchez,2,68,1018,11
EPL,2017-2018,2,Manchester Utd,Henrikh Mkhitaryan,1,68,1018,12
EPL,2017-2018,2,Manchester Utd,Nemanja MatiÄ‡,1,68,1018,13
EPL,2017-2018,2,Manchester Utd,Eric Bailly,1,68,1018,14
EPL,2017-2018,2,Manchester Utd,Scott McTominay,0,68,1018,15
EPL,2017-2018,2,Manchester Utd,Axel Tuanzebe,0,68,1018,16
EPL,2017-2018,2,Manchester Utd,Victor LindelÃ¶f,0,68,1018,17
EPL,2017-2018,2,Manchester Utd,Ander Herrera,0,68,1018,18
EPL,2017-2018,2,Manchester Utd,Zlatan IbrahimoviÄ‡,0,68,1018,19
EPL,2017-2018,2,Manchester Utd,Daley Blind,0,68,1018,20
EPL,2017-2018,2,Manchester Utd,David de Gea,0,68,1018,21
EPL,2017-2018,2,Manchester Utd,Luke Shaw,0,68,1018,22
EPL,2017-2018,2,Manchester Utd,Matteo Darmian,0,68,1018,23
EPL,2017-2018,2,Manchester Utd,Michael Carrick,0,68,1018,24
EPL,2017-2018,2,Manchester Utd,Phil Jones,0,68,1018,25
EPL,2017-2018,2,Manchester Utd,Sergio Romero,0,68,1018,26
EPL,2017-2018,2,Manchester Utd,Marcos Rojo,0,68,1018,27
EPL,2017-2018,3,Tottenham,Harry Kane,30,74,1018,1
EPL,2017-2018,3,Tottenham,Son Heung-min,12,74,1018,2
EPL,2017-2018,3,Tottenham,Christian Eriksen,10,74,1018,3
EPL,2017-2018,3,Tottenham,Dele Alli,9,74,1018,4
EPL,2017-2018,3,Tottenham,Serge Aurier,2,74,1018,5
EPL,2017-2018,3,Tottenham,Ben Davies,2,74,1018,6
EPL,2017-2018,3,Tottenham,Ã‰rik Lamela,2,74,1018,7
EPL,2017-2018,3,Tottenham,Victor Wanyama,1,74,1018,8
EPL,2017-2018,3,Tottenham,Moussa Sissoko,1,74,1018,9
EPL,2017-2018,3,Tottenham,Fernando Llorente,1,74,1018,10
EPL,2017-2018,3,Tottenham,Vincent Janssen,0,74,1018,11
EPL,2017-2018,3,Tottenham,Mousa DembÃ©lÃ©,0,74,1018,12
EPL,2017-2018,3,Tottenham,Davinson SÃ¡nchez,0,74,1018,13
EPL,2017-2018,3,Tottenham,Danny Rose,0,74,1018,14
EPL,2017-2018,3,Tottenham,Michel Vorm,0,74,1018,15
EPL,2017-2018,3,Tottenham,Lucas Moura,0,74,1018,16
EPL,2017-2018,3,Tottenham,Kyle Walker-Peters,0,74,1018,17
EPL,2017-2018,3,Tottenham,Kieran Trippier,0,74,1018,18
EPL,2017-2018,3,Tottenham,Jan Vertonghen,0,74,1018,19
EPL,2017-2018,3,Tottenham,Hugo Lloris,0,74,1018,20
EPL,2017-2018,3,Tottenham,Harry Winks,0,74,1018,21
EPL,2017-2018,3,Tottenham,Georges-KÃ©vin N'Koudou,0,74,1018,22
EPL,2017-2018,3,Tottenham,Eric Dier,0,74,1018,23
EPL,2017-2018,3,Tottenham,Paulo Gazzaniga,0,74,1018,24
EPL,2017-2018,3,Tottenham,Toby Alderweireld,0,74,1018,25
EPL,2017-2018,4,Liverpool,Mohamed Salah,32,84,1018,1
EPL,2017-2018,4,Liverpool,Roberto Firmino,15,84,1018,2
EPL,2017-2018,4,Liverpool,Sadio ManÃ©,10,84,1018,3
EPL,2017-2018,4,Liverpool,Philippe Coutinho,7,84,1018,4
EPL,2017-2018,4,Liverpool,Emre Can,3,84,1018,5
EPL,2017-2018,4,Liverpool,Alex Oxlade-Chamberlain,3,84,1018,6
EPL,2017-2018,4,Liverpool,Dejan Lovren,2,84,1018,7
EPL,2017-2018,4,Liverpool,Daniel Sturridge,2,84,1018,8
EPL,2017-2018,4,Liverpool,Dominic Solanke,1,84,1018,9
EPL,2017-2018,4,Liverpool,Trent Alexander-Arnold,1,84,1018,10
EPL,2017-2018,4,Liverpool,Ragnar Klavan,1,84,1018,11
EPL,2017-2018,4,Liverpool,JoÃ«l Matip,1,84,1018,12
EPL,2017-2018,4,Liverpool,Georginio Wijnaldum,1,84,1018,13
EPL,2017-2018,4,Liverpool,Andrew Robertson,1,84,1018,14
EPL,2017-2018,4,Liverpool,Jordan Henderson,1,84,1018,15
EPL,2017-2018,4,Liverpool,Danny Ings,1,84,1018,16
EPL,2017-2018,4,Liverpool,Virgil van Dijk,0,84,1018,17
EPL,2017-2018,4,Liverpool,Simon Mignolet,0,84,1018,18
EPL,2017-2018,4,Liverpool,Nathaniel Clyne,0,84,1018,19
EPL,2017-2018,4,Liverpool,Marko GrujiÄ‡,0,84,1018,20
EPL,2017-2018,4,Liverpool,Loris Karius,0,84,1018,21
EPL,2017-2018,4,Liverpool,Joe Gomez,0,84,1018,22
EPL,2017-2018,4,Liverpool,James Milner,0,84,1018,23
EPL,2017-2018,4,Liverpool,Divock Origi,0,84,1018,24
EPL,2017-2018,4,Liverpool,Ben Woodburn,0,84,1018,25
EPL,2017-2018,4,Liverpool,Alberto Moreno,0,84,1018,26
EPL,2017-2018,4,Liverpool,Adam Lallana,0,84,1018,27
EPL,2017-2018,5,Chelsea,Ãlvaro Morata,11,62,1018,2
EPL,2017-2018,5,Chelsea,Marcos Alonso,7,62,1018,3
EPL,2017-2018,5,Chelsea,Willian,6,62,1018,4
EPL,2017-2018,5,Chelsea,Pedro,4,62,1018,5
EPL,2017-2018,5,Chelsea,Victor Moses,3,62,1018,6
EPL,2017-2018,5,Chelsea,Olivier Giroud,3,62,1018,7
EPL,2017-2018,5,Chelsea,TiemouÃ© Bakayoko,2,62,1018,8
EPL,2017-2018,5,Chelsea,CÃ©sar Azpilicueta,2,62,1018,9
EPL,2017-2018,5,Chelsea,Antonio RÃ¼diger,2,62,1018,10
EPL,2017-2018,5,Chelsea,Cesc FÃ bregas,2,62,1018,11
EPL,2017-2018,5,Chelsea,Michy Batshuayi,2,62,1018,12
EPL,2017-2018,5,Chelsea,David Luiz,1,62,1018,13
EPL,2017-2018,5,Chelsea,Davide Zappacosta,1,62,1018,14
EPL,2017-2018,5,Chelsea,N'Golo KantÃ©,1,62,1018,15
EPL,2017-2018,5,Chelsea,Danny Drinkwater,1,62,1018,16
EPL,2017-2018,5,Chelsea,Gary Cahill,0,62,1018,17
EPL,2017-2018,5,Chelsea,Thibaut Courtois,0,62,1018,18
EPL,2017-2018,5,Chelsea,Andreas Christensen,0,62,1018,19
EPL,2017-2018,5,Chelsea,Jeremie Boga,0,62,1018,20
EPL,2017-2018,5,Chelsea,Ross Barkley,0,62,1018,21
EPL,2017-2018,5,Chelsea,Ethan Ampadu,0,62,1018,22
EPL,2017-2018,5,Chelsea,Emerson Palmieri,0,62,1018,23
EPL,2017-2018,5,Chelsea,Charly Musonda Jr.,0,62,1018,24
EPL,2017-2018,5,Chelsea,Callum Hudson-Odoi,0,62,1018,25
EPL,2017-2018,5,Chelsea,Willy Caballero,0,62,1018,26
EPL,2017-2018,6,Arsenal,Alexandre Lacazette,14,74,1018,1
EPL,2017-2018,6,Arsenal,Pierre-Emerick Aubameyang,10,74,1018,2
EPL,2017-2018,6,Arsenal,Aaron Ramsey,7,74,1018,3
EPL,2017-2018,6,Arsenal,Alexis SÃ¡nchez,7,74,1018,4
EPL,2017-2018,6,Arsenal,Nacho Monreal,5,74,1018,5
EPL,2017-2018,6,Arsenal,Danny Welbeck,5,74,1018,6
EPL,2017-2018,6,Arsenal,Olivier Giroud,4,74,1018,7
EPL,2017-2018,6,Arsenal,Mesut Ã–zil,4,74,1018,8
EPL,2017-2018,6,Arsenal,Shkodran Mustafi,3,74,1018,9
EPL,2017-2018,6,Arsenal,Alex Iwobi,3,74,1018,10
EPL,2017-2018,6,Arsenal,HÃ©ctor BellerÃ­n,2,74,1018,11
EPL,2017-2018,6,Arsenal,Henrikh Mkhitaryan,2,74,1018,12
EPL,2017-2018,6,Arsenal,Sead KolaÅ¡inac,2,74,1018,13
EPL,2017-2018,6,Arsenal,Laurent Koscielny,2,74,1018,14
EPL,2017-2018,6,Arsenal,Granit Xhaka,1,74,1018,15
EPL,2017-2018,6,Arsenal,Per Mertesacker,1,74,1018,16
EPL,2017-2018,6,Arsenal,Jack Wilshere,1,74,1018,17
EPL,2017-2018,6,Arsenal,Eddie Nketiah,0,74,1018,18
EPL,2017-2018,6,Arsenal,Ainsley Maitland-Niles,0,74,1018,19
EPL,2017-2018,6,Arsenal,Alex Oxlade-Chamberlain,0,74,1018,20
EPL,2017-2018,6,Arsenal,David Ospina,0,74,1018,21
EPL,2017-2018,6,Arsenal,Francis Coquelin,0,74,1018,22
EPL,2017-2018,6,Arsenal,Joe Willock,0,74,1018,23
EPL,2017-2018,6,Arsenal,Mohamed Elneny,0,74,1018,24
EPL,2017-2018,6,Arsenal,Petr ÄŒech,0,74,1018,25
EPL,2017-2018,6,Arsenal,Reiss Nelson,0,74,1018,26
EPL,2017-2018,6,Arsenal,Rob Holding,0,74,1018,27
EPL,2017-2018,6,Arsenal,Theo Walcott,0,74,1018,28
EPL,2017-2018,6,Arsenal,Konstantinos Mavropanos,0,74,1018,29
EPL,2017-2018,6,Arsenal,Calum Chambers,0,74,1018,30
EPL,2018-2019,1,Manchester City,Sergio AgÃ¼ero,21,95,1072,1
EPL,2018-2019,1,Manchester City,Raheem Sterling,17,95,1072,2
EPL,2018-2019,1,Manchester City,Leroy SanÃ©,10,95,1072,3
EPL,2018-2019,1,Manchester City,Bernardo Silva,7,95,1072,4
EPL,2018-2019,1,Manchester City,Riyad Mahrez,7,95,1072,5
EPL,2018-2019,1,Manchester City,Gabriel Jesus,7,95,1072,6
EPL,2018-2019,1,Manchester City,David Silva,6,95,1072,7
EPL,2018-2019,1,Manchester City,Ä°lkay GÃ¼ndoÄŸan,6,95,1072,8
EPL,2018-2019,1,Manchester City,Aymeric Laporte,3,95,1072,9
EPL,2018-2019,1,Manchester City,Kevin De Bruyne,2,95,1072,10
EPL,2018-2019,1,Manchester City,Danilo,1,95,1072,11
EPL,2018-2019,1,Manchester City,Phil Foden,1,95,1072,12
EPL,2018-2019,1,Manchester City,Fernandinho,1,95,1072,13
EPL,2018-2019,1,Manchester City,Kyle Walker,1,95,1072,14
EPL,2018-2019,1,Manchester City,Vincent Kompany,1,95,1072,15
EPL,2018-2019,1,Manchester City,Oleksandr Zinchenko,0,95,1072,16
EPL,2018-2019,1,Manchester City,NicolÃ¡s Otamendi,0,95,1072,17
EPL,2018-2019,1,Manchester City,John Stones,0,95,1072,18
EPL,2018-2019,1,Manchester City,Fabian Delph,0,95,1072,19
EPL,2018-2019,1,Manchester City,Ederson,0,95,1072,20
EPL,2018-2019,1,Manchester City,Benjamin Mendy,0,95,1072,21
EPL,2018-2019,2,Liverpool,Sadio ManÃ©,22,89,1072,1
EPL,2018-2019,2,Liverpool,Mohamed Salah,22,89,1072,2
EPL,2018-2019,2,Liverpool,Roberto Firmino,12,89,1072,3
EPL,2018-2019,2,Liverpool,Xherdan Shaqiri,6,89,1072,4
EPL,2018-2019,2,Liverpool,James Milner,5,89,1072,5
EPL,2018-2019,2,Liverpool,Virgil van Dijk,4,89,1072,6
EPL,2018-2019,2,Liverpool,Georginio Wijnaldum,3,89,1072,7
EPL,2018-2019,2,Liverpool,Divock Origi,3,89,1072,8
EPL,2018-2019,2,Liverpool,Naby KeÃ¯ta,2,89,1072,9
EPL,2018-2019,2,Liverpool,Daniel Sturridge,2,89,1072,10
EPL,2018-2019,2,Liverpool,JoÃ«l Matip,1,89,1072,11
EPL,2018-2019,2,Liverpool,Fabinho,1,89,1072,12
EPL,2018-2019,2,Liverpool,Dejan Lovren,1,89,1072,13
EPL,2018-2019,2,Liverpool,Trent Alexander-Arnold,1,89,1072,14
EPL,2018-2019,2,Liverpool,Jordan Henderson,1,89,1072,15
EPL,2018-2019,2,Liverpool,Alberto Moreno,0,89,1072,16
EPL,2018-2019,2,Liverpool,Adam Lallana,0,89,1072,17
EPL,2018-2019,2,Liverpool,Alex Oxlade-Chamberlain,0,89,1072,18
EPL,2018-2019,2,Liverpool,Alisson,0,89,1072,19
EPL,2018-2019,2,Liverpool,Andrew Robertson,0,89,1072,20
EPL,2018-2019,2,Liverpool,Joe Gomez,0,89,1072,21
EPL,2018-2019,2,Liverpool,Nathaniel Clyne,0,89,1072,22
EPL,2018-2019,2,Liverpool,Rafael Camacho,0,89,1072,23
EPL,2018-2019,3,Chelsea,Eden Hazard,16,63,1072,1
EPL,2018-2019,3,Chelsea,Pedro,8,63,1072,2
EPL,2018-2019,3,Chelsea,Ruben Loftus-Cheek,6,63,1072,3
EPL,2018-2019,3,Chelsea,Gonzalo HiguaÃ­n,5,63,1072,4
EPL,2018-2019,3,Chelsea,Ãlvaro Morata,5,63,1072,5
EPL,2018-2019,3,Chelsea,N'Golo KantÃ©,4,63,1072,6
EPL,2018-2019,3,Chelsea,Ross Barkley,3,63,1072,7
EPL,2018-2019,3,Chelsea,Willian,3,63,1072,8
EPL,2018-2019,3,Chelsea,David Luiz,3,63,1072,9
EPL,2018-2019,3,Chelsea,Jorginho,2,63,1072,10
EPL,2018-2019,3,Chelsea,Marcos Alonso,2,63,1072,11
EPL,2018-2019,3,Chelsea,Olivier Giroud,2,63,1072,12
EPL,2018-2019,3,Chelsea,Antonio RÃ¼diger,1,63,1072,13
EPL,2018-2019,3,Chelsea,CÃ©sar Azpilicueta,1,63,1072,14
EPL,2018-2019,3,Chelsea,Cesc FÃ bregas,0,63,1072,15
EPL,2018-2019,3,Chelsea,Callum Hudson-Odoi,0,63,1072,16
EPL,2018-2019,3,Chelsea,Davide Zappacosta,0,63,1072,17
EPL,2018-2019,3,Chelsea,Emerson Palmieri,0,63,1072,18
EPL,2018-2019,3,Chelsea,Gary Cahill,0,63,1072,19
EPL,2018-2019,3,Chelsea,Mateo KovaÄiÄ‡,0,63,1072,20
EPL,2018-2019,3,Chelsea,Victor Moses,0,63,1072,21
EPL,2018-2019,3,Chelsea,Willy Caballero,0,63,1072,22
EPL,2018-2019,3,Chelsea,Andreas Christensen,0,63,1072,23
EPL,2018-2019,3,Chelsea,Kepa Arrizabalaga,0,63,1072,24
EPL,2018-2019,4,Tottenham,Harry Kane,17,67,1072,1
EPL,2018-2019,4,Tottenham,Son Heung-min,12,67,1072,2
EPL,2018-2019,4,Tottenham,Lucas Moura,10,67,1072,3
EPL,2018-2019,4,Tottenham,Christian Eriksen,8,67,1072,4
EPL,2018-2019,4,Tottenham,Dele Alli,5,67,1072,5
EPL,2018-2019,4,Tottenham,Ã‰rik Lamela,4,67,1072,6
EPL,2018-2019,4,Tottenham,Eric Dier,3,67,1072,7
EPL,2018-2019,4,Tottenham,Fernando Llorente,1,67,1072,8
EPL,2018-2019,4,Tottenham,Davinson SÃ¡nchez,1,67,1072,9
EPL,2018-2019,4,Tottenham,Victor Wanyama,1,67,1072,10
EPL,2018-2019,4,Tottenham,Kieran Trippier,1,67,1072,11
EPL,2018-2019,4,Tottenham,Juan Foyth,1,67,1072,12
EPL,2018-2019,4,Tottenham,Jan Vertonghen,1,67,1072,13
EPL,2018-2019,4,Tottenham,Harry Winks,1,67,1072,14
EPL,2018-2019,4,Tottenham,Danny Rose,0,67,1072,15
EPL,2018-2019,4,Tottenham,Vincent Janssen,0,67,1072,16
EPL,2018-2019,4,Tottenham,Ben Davies,0,67,1072,17
EPL,2018-2019,4,Tottenham,Georges-KÃ©vin N'Koudou,0,67,1072,18
EPL,2018-2019,4,Tottenham,Hugo Lloris,0,67,1072,19
EPL,2018-2019,4,Tottenham,Kyle Walker-Peters,0,67,1072,20
EPL,2018-2019,4,Tottenham,Luke Amos,0,67,1072,21
EPL,2018-2019,4,Tottenham,Michel Vorm,0,67,1072,22
EPL,2018-2019,4,Tottenham,Moussa Sissoko,0,67,1072,23
EPL,2018-2019,4,Tottenham,Oliver Skipp,0,67,1072,24
EPL,2018-2019,4,Tottenham,Paulo Gazzaniga,0,67,1072,25
EPL,2018-2019,4,Tottenham,Serge Aurier,0,67,1072,26
EPL,2018-2019,4,Tottenham,Toby Alderweireld,0,67,1072,27
EPL,2018-2019,4,Tottenham,Mousa DembÃ©lÃ©,0,67,1072,28
EPL,2018-2019,5,Arsenal,Pierre-Emerick Aubameyang,22,73,1072,1
EPL,2018-2019,5,Arsenal,Alexandre Lacazette,13,73,1072,2
EPL,2018-2019,5,Arsenal,Henrikh Mkhitaryan,6,73,1072,3
EPL,2018-2019,5,Arsenal,Mesut Ã–zil,5,73,1072,4
EPL,2018-2019,5,Arsenal,Aaron Ramsey,4,73,1072,5
EPL,2018-2019,5,Arsenal,Granit Xhaka,4,73,1072,6
EPL,2018-2019,5,Arsenal,Laurent Koscielny,3,73,1072,7
EPL,2018-2019,5,Arsenal,Alex Iwobi,3,73,1072,8
EPL,2018-2019,5,Arsenal,Shkodran Mustafi,2,73,1072,9
EPL,2018-2019,5,Arsenal,Lucas Torreira,2,73,1072,10
EPL,2018-2019,5,Arsenal,Ainsley Maitland-Niles,1,73,1072,11
EPL,2018-2019,5,Arsenal,Eddie Nketiah,1,73,1072,12
EPL,2018-2019,5,Arsenal,Sokratis Papastathopoulos,1,73,1072,13
EPL,2018-2019,5,Arsenal,Nacho Monreal,1,73,1072,14
EPL,2018-2019,5,Arsenal,Danny Welbeck,1,73,1072,15
EPL,2018-2019,5,Arsenal,Bukayo Saka,0,73,1072,16
EPL,2018-2019,5,Arsenal,Bernd Leno,0,73,1072,17
EPL,2018-2019,5,Arsenal,Sead KolaÅ¡inac,0,73,1072,18
EPL,2018-2019,5,Arsenal,Rob Holding,0,73,1072,19
EPL,2018-2019,5,Arsenal,Petr ÄŒech,0,73,1072,20
EPL,2018-2019,5,Arsenal,Mohamed Elneny,0,73,1072,21
EPL,2018-2019,5,Arsenal,MattÃ©o Guendouzi,0,73,1072,22
EPL,2018-2019,5,Arsenal,Konstantinos Mavropanos,0,73,1072,23
EPL,2018-2019,5,Arsenal,Joe Willock,0,73,1072,24
EPL,2018-2019,5,Arsenal,HÃ©ctor BellerÃ­n,0,73,1072,25
EPL,2018-2019,5,Arsenal,Denis SuÃ¡rez,0,73,1072,26
EPL,2018-2019,5,Arsenal,Carl Jenkinson,0,73,1072,27
EPL,2018-2019,5,Arsenal,Stephan Lichtsteiner,0,73,1072,28
EPL,2018-2019,6,Manchester Utd,Paul Pogba,13,65,1072,1
EPL,2018-2019,6,Manchester Utd,Romelu Lukaku,12,65,1072,2
EPL,2018-2019,6,Manchester Utd,Marcus Rashford,10,65,1072,3
EPL,2018-2019,6,Manchester Utd,Anthony Martial,10,65,1072,4
EPL,2018-2019,6,Manchester Utd,Jesse Lingard,4,65,1072,5
EPL,2018-2019,6,Manchester Utd,Juan Mata,3,65,1072,6
EPL,2018-2019,6,Manchester Utd,Scott McTominay,2,65,1072,7
EPL,2018-2019,6,Manchester Utd,Ashley Young,2,65,1072,8
EPL,2018-2019,6,Manchester Utd,Ander Herrera,2,65,1072,9
EPL,2018-2019,6,Manchester Utd,Alexis SÃ¡nchez,1,65,1072,10
EPL,2018-2019,6,Manchester Utd,Victor LindelÃ¶f,1,65,1072,11
EPL,2018-2019,6,Manchester Utd,Nemanja MatiÄ‡,1,65,1072,12
EPL,2018-2019,6,Manchester Utd,Luke Shaw,1,65,1072,13
EPL,2018-2019,6,Manchester Utd,Fred,1,65,1072,14
EPL,2018-2019,6,Manchester Utd,Chris Smalling,1,65,1072,15
EPL,2018-2019,6,Manchester Utd,Andreas Pereira,1,65,1072,16
EPL,2018-2019,6,Manchester Utd,Antonio Valencia,0,65,1072,17
EPL,2018-2019,6,Manchester Utd,Angel Gomes,0,65,1072,18
EPL,2018-2019,6,Manchester Utd,David de Gea,0,65,1072,19
EPL,2018-2019,6,Manchester Utd,Diogo Dalot,0,65,1072,20
EPL,2018-2019,6,Manchester Utd,Eric Bailly,0,65,1072,21
EPL,2018-2019,6,Manchester Utd,James Garner,0,65,1072,22
EPL,2018-2019,6,Manchester Utd,Marouane Fellaini,0,65,1072,23
EPL,2018-2019,6,Manchester Utd,Mason Greenwood,0,65,1072,24
EPL,2018-2019,6,Manchester Utd,Matteo Darmian,0,65,1072,25
EPL,2018-2019,6,Manchester Utd,Phil Jones,0,65,1072,26
EPL,2018-2019,6,Manchester Utd,Tahith Chong,0,65,1072,27
EPL,2018-2019,6,Manchester Utd,Marcos Rojo,0,65,1072,28
EPL,2019-2020,1,Liverpool,Mohamed Salah,19,85,1034,1
EPL,2019-2020,1,Liverpool,Sadio ManÃ©,18,85,1034,2
EPL,2019-2020,1,Liverpool,Roberto Firmino,9,85,1034,3
EPL,2019-2020,1,Liverpool,Virgil van Dijk,5,85,1034,4
EPL,2019-2020,1,Liverpool,Alex Oxlade-Chamberlain,4,85,1034,5
EPL,2019-2020,1,Liverpool,Divock Origi,4,85,1034,6
EPL,2019-2020,1,Liverpool,Georginio Wijnaldum,4,85,1034,7
EPL,2019-2020,1,Liverpool,Trent Alexander-Arnold,4,85,1034,8
EPL,2019-2020,1,Liverpool,Jordan Henderson,4,85,1034,9
EPL,2019-2020,1,Liverpool,Naby KeÃ¯ta,2,85,1034,10
EPL,2019-2020,1,Liverpool,Andrew Robertson,2,85,1034,11
EPL,2019-2020,1,Liverpool,James Milner,2,85,1034,12
EPL,2019-2020,1,Liverpool,Fabinho,2,85,1034,13
EPL,2019-2020,1,Liverpool,Xherdan Shaqiri,1,85,1034,14
EPL,2019-2020,1,Liverpool,Curtis Jones,1,85,1034,15
EPL,2019-2020,1,Liverpool,Adam Lallana,1,85,1034,16
EPL,2019-2020,1,Liverpool,JoÃ«l Matip,1,85,1034,17
