City,Club,Stadium,Cap,Country,Longitude,Latitude
Furth,Greuther Furth,Sportpark Ronhof,"18,000",Germany,10.998893103979086,49.487145299999995
Gelsenkirchen,FC Schalke 04,VELTINS-Arena,"61,673",Germany,7.06760006899412,51.55459375
Hamburg,Hamburger SV,Volksparkstadion,"57,000",Germany,9.898705553686273,53.5871535
Hamburg,St. Pauli,Millerntor-Stadion,"29,546",Germany,9.967787080488549,53.554556649999995
Hanover,Hannover 96,HDI Arena,"49,000",Germany,9.73000838304105,52.3600379
Ingolstadt,FC Ingolstadt 04,Audi Sportpark,"15,800",Germany,11.485526768579073,48.745279749999995
Kaiserslautern,1. FC Kaiserslautern,Fritz-Walter-Stadion,"49,780",Germany,7.7766235351726545,49.434573900000004
Kiel,Holstein Kiel,Holstein-Stadion,"13,400",Germany,10.123761106004086,54.3492088
Leipzig,RB Leipzig,Red Bull Arena,"42,959",Germany,12.998248817975973,47.816406150000006
Leverkusen,Bayer 04 Leverkusen,BayArena,"30,000",Germany,7.003096412334891,51.0381439
Magdeburg,1. FC Magdeburg,MDCC-Arena,"25,500",Germany,11.670686586192183,52.1248901
Mainz,1. FSV Mainz 05,MEWA Arena,"33,305",Germany,8.223279266406227,49.9839463
Mainz,1. FSV Mainz 05 II,Bruchwegstadion,"18,000",Germany,8.245586475036514,50.000712199999995
Monchengladbach,Borussia Monchengladbach,Borussia-Park,"54,010",Germany,6.385409367871812,51.174624949999995
Munich,FC Bayern,Allianz Arena,"75,000",Germany,11.624664151799873,48.21880845
Munich,TSV 1860 Munchen,Grunwalder Stadion,"15,000",Germany,11.573375355922336,48.11100145
Munich,--,Olympiastadion Munich,"69,250",Germany,11.539099944069738,48.17896815
Nuremberg,1. FC Nurnberg,Max-Morlock-Stadion,"50,000",Germany,11.125670595735157,49.426256949999996
Paderborn,SC Paderborn 07,Benteler-Arena,"15,000",Germany,8.5465,52.02749
Regensburg,Jahn Regensburg,Jahnstadion Regensburg,"15,115",Germany,12.108018699843267,48.990856550000004
Sinsheim,1899 Hoffenheim,PreZero Arena,"30,150",Germany,8.887641414843747,49.23806035
Stuttgart,VFB Stuttgart,Mercedes-Benz Arena,"60,441",Germany,13.443765151369332,52.506368699999996
Wiesbaden,SV Wehen Wiesbaden,BRITA-Arena,"12,556",Germany,8.256726762433617,50.0711536
Wolfsburg,VFL Wolfsburg,Volkswagen Arena,"30,000",Germany,10.804675319213889,52.432817099999994
Bari,Bari,Stadio San Nicola,"58,270",Italy,16.840084897844584,41.0847276
Benevento,Benevento Calcio,Stadio Ciro Vigorito,"12,847",Italy,14.78107632966845,41.11658855
Bergamo,Atalanta,Stadio Atleti Azzurri d'Italia,"26,562",Italy,9.6807,45.70913
Bologna,Bologna,Stadio Renato Dall'Ara,"38,279",Italy,11.309990462343109,44.492362
Brescia,Brescia,Stadio Mario Rigamonti,"16,308",Italy,10.236977857292505,45.57072035
Cagliari,Cagliari,Stadio Sant'Elia,"23,486",Italy,9.13480539048361,39.1994235
Catania,Catania,Stadio Angelo Massimio,"20,016",Italy,7.649947,45.041748
Como,Como,Stadio G. Sinigaglia,"8,028",Italy,9.392413,45.922379
Cremona,Cremonese,Stadio Giovanni Zini,"16,003",Italy,10.035000454871124,45.140044
Crotone,Crotone,Stadio Ezio Scida,"9,631",Italy,17.11627924957116,39.07925815
Empoli,Empoli,Stadio Carlo Castellani,"20,000",Italy,10.954727353155029,43.7265476
Ferrara,S.P.A.L.,Stadio Paolo Mazza,"16,134",Italy,11.607811999855663,44.8401697
Florence,Fiorentina,Stadio Artemio Franchi,"43,147",Italy,11.282819064944935,43.78088375
Florence,Fiorentina,Stadio Artemio Franchi,"43,147",Italy,11.282819064944935,43.78088375
Frosinone,Frosinone,Stadio Benito Stirpe,"16,227",Italy,13.32179776599936,41.6340108
La Spezia,Spezia,Stadio Alberto Picco,"10,336",Italy,9.80933957163904,44.102129000000005
Lecce,Lecce,Stadio Via Del Mare,"31,533",Italy,9.12397,45.47825
Livorno,Livorno,Stadio Armando Picchi,"19,234",Italy,9.385179622112584,45.553302849999994
Modena,Modena,Stadio Alberto Braglia,"21,151",Italy,10.923094123149216,44.65342725
Monza,Monza,Stadio Brianteo,"7,499",Italy,9.307927588043743,45.58311195
Naples,Napoli,Stadio San Paolo,"60,240",Italy,7.649947,45.041748
Novara,Novara,Stadio Silvio Piola,"17,875",Italy,8.595837118430584,45.43574845
Padua,Padova,Stadio Euganeo,"18,060",Italy,11.858275806078538,45.4323821
Palermo,Palermo,Stadio Renzo Barbera,"36,349",Italy,13.341789032659829,38.153103
Parma,Parma,Stadio Ennio Tardini,"27,906",Italy,10.338369334731283,44.794775900000005
Pescara,Pescara,Stadio Adriatico,"20,476",Italy,14.229322,42.455221
Piacenza,Piacenza,Stadio Leonardo Garilli,"17,821",Italy,9.690124957623887,45.02957905
Siena,Siena,Stadio Artemio Franchi,"15,373",Italy,11.282819064944935,43.78088375
Siena,Siena,Stadio Artemio Franchi,"15,373",Italy,11.282819064944935,43.78088375
Turin,Juventus,Allianz Stadium,"41,000",Italy,7.642099772608481,45.10965935
Turin,Torino,Stadio Olimpico di Torino,"25,300",Italy,7.649203697915731,45.0417439
Varese,--,Stadio Franco Ossola,"9,926",Italy,8.800714960205454,45.83457625
Venice,Venezia,Stadio Pierluigi Penzo,"7,450",Italy,12.364713,45.426992
A Coruna,Deportivo de La Coruna,Estadio ABANCA-Riazor,"32,660",Spain,-8.417509838016294,43.368715699999996
Alcorcon,AD Alcorcon,Estadio Municipal de Santo Domingo,"5,880",Spain,-2.8009390765770332,36.763675899999996
Alicante,Alicante CF,Estadio Jose Rico Perez,"29,500",Spain,-0.4925974221199808,38.35734585
Almeria,UD Almeria,Estadio de los Juegos Mediterraneos,"15,000",Spain,-2.4354672082384705,36.84006695
Barakaldo,Barakaldo CF,Campo de Lasesarre,"7,960",Spain,-60.84215,-26.80077
Barcelona,FC Barcelona,Camp Nou,"99,354",Spain,-77.0350078,-12.0666272
Barcelona,RCD Espanyol,RCDE Stadium,"40,500",Spain,2.074801953310624,41.347806899999995
Bilbao,Athletic Club,Estadio San Mames,"53,000",Spain,-2.94939145292929,43.26420400000001
Cadiz,Cadiz CF,Nuevo Estadio Ramon de Carranza,"20,000",Spain,-6.273016730848631,36.5026039
Cartagena,FC Cartagena,Estadio Cartagonova,"15,105",Spain,-0.9960367616961322,37.6096661
Cordoba,Cordoba CF,Estadio El Arcangel,"20,989",Spain,-4.763516275789737,37.87212065
Eibar,SD Eibar,Estadio de Ipurua,"7,083",Spain,-2.47565,43.18183
Elche,Elche CF,Estadio Martinez Valero,"36,017",Spain,-0.6633051462716558,38.26704445
Getafe,Getafe CF,Coliseum Alfonso Perez,"17,500",Spain,-3.7149326452090587,40.325724699999995
Gijon,Real Sporting de Gijon,Estadio El Molinon,"30,000",Spain,-5.637476570462306,43.53627105
Girona,Girona FC,Estadi Municipal de Montilivi,"9,500",Spain,2.828979590009981,41.961169850000005
Granada,Granada CF,Estadio de Los Carmenes,"22,500",Spain,-58.344439,-34.657749
Huesca,SD Huesca,Estadio El Alcoraz,"7,683",Spain,-0.4241424500487978,42.13186235
Irun,Real Union Club de Irun,Stadium Gal,"5,000",Spain,-1.7863936444633208,43.345297
Las Palmas,UD Las Palmas,Estadio de Gran Canaria,"31,250",Spain,-15.456724730067497,28.1002336
Leganes,CD Leganes,Estadio Municipal de Butarque,"10,958",Spain,-3.760651172703595,40.34037465
Madrid,Atletico de Madrid,Wanda Metropolitano,"68,000",Spain,-54.56285,-25.96879
Madrid,Rayo Vallecano,Campo de Futbol de Vallecas,"14,708",Spain,-3.6587366355118887,40.3917566
Madrid,Real Madrid CF,Estadio Santiago Bernabeu,"81,044",Spain,-3.6874056737588647,40.4530225
Madrid,Real Madrid Castilla,Estadio Alfredo di Stefano,"6,000",Spain,-3.6150599312497085,40.47693735
Malaga,Malaga CF,Estadio La Rosaleda,"30,044",Spain,-4.426535165860329,36.734959700000005
Murcia,Real Murcia FC,Estadio Enrique Roca de Murcia,"31,179",Spain,-1.1447323985946745,38.04222405
Oviedo,Real Oviedo,Estadio Carlos Tartiere,"30,500",Spain,-5.870305982672,43.36087155
Palma de Mallorca,RCD Mallorca,Iberostar Estadio,"23,142",Spain,-73.979628,40.749859
Pamplona,CA Osasuna,Estadio El Sadar,"23,500",Spain,-1.637122605321727,42.796657550000006
Ponferrada,SD Ponferradina,Estadio Municipal El Toralin,"8,400",Spain,-6.600601181207674,42.5575432
Sabadell,CE Sabadell FC,Estadi Municipal de la Nova Creu Alta,"20,000",Spain,2.091332956531592,41.55472465
San Sebastian,Real Sociedad,Reale Arena,"40,000",Spain,-1.9735522123030802,43.3013371
Santa Cruz de Tenerife,CD Tenerife,Estadio Heliodoro Rodriguez Lopez,"22,824",Spain,-16.260548047494346,28.46324275
Santander,Racing Club de Santander,Campos de Sport de El Sardinero,"22,222",Spain,-3.793953349489953,43.4762607
Seville,--,Estadio La Cartuja de Sevilla,"60,000",Spain,-6.004613361716357,37.41723525
Seville,Real Betis Balompie,Estadio Benito Villamarin,"60,721",Spain,-5.981756556248882,37.356535449999996
Seville,Sevilla FC,Estadio Ramon Sanchez Pizjuan,"42,714",Spain,-5.970630902457186,37.3840876
Soria,CD Numancia,Nuevo Estadio Los Pajaritos,"8,727",Spain,-99.529784,27.460849
Tarragona,Gimnastic de Tarragona,Nou Estadi,"14,591",Spain,1.2736357790908417,41.127007000000006
Valencia,Levante UD,Estadi Ciutat de Valencia,"26,354",Spain,-0.3638510397351134,39.49464905
Valencia,Valencia CF,Estadio de Mestalla,"55,000",Spain,-0.35811,39.47475
Valladolid,Real Valladolid CF,Estadio Jose Zorrilla,"26,512",Spain,-4.76125762814154,41.6445801
Villarreal,Villarreal CF,Estadio El Madrigal,"25,000",Spain,-0.10340461367963182,39.94420835
Vigo,RC Celta de Vigo,Estadio Municipal de Balaidos,"31,800",Spain,-8.7392309,42.2111224
Vitoria-Gasteiz,Deportivo Alaves,Estadio de Mendizorroza,"19,840",Spain,-9.260969,38.708812
Zaragoza,Real Zaragoza,Estadio La Romareda,"34,596",Spain,-0.9018225813306358,41.63648875
