Player,Squad,MP,Starts,Min,90s,Goals,Goals,Seasons,League
Moussa Diaby,Leverkusen,32,28,"2,388",26.5,4,0.15,2020-2021,Bundesliga
Daniel Didavi,Stuttgart,23,10,970,10.8,4,0.37,2020-2021,Bundesliga
Javairô Dilrosun,Hertha BSC,12,5,529,5.9,0,0.00,2020-2021,Bundesliga
Eren Dinkçi,Werder Bremen,8,1,108,1.2,1,0.83,2020-2021,Bundesliga
Ritsu Doan,Arminia,34,33,"2,768",30.8,5,0.16,2020-2021,Bundesliga
Ji Dong-won,Mainz 05,6,0,62,0.7,0,0.00,2020-2021,Bundesliga
Bas Dost,Eint Frankfurt,12,9,817,9.1,4,0.44,2020-2021,Bundesliga
Aleksandar Dragović,Leverkusen,18,11,"1,136",12.6,1,0.08,2020-2021,Bundesliga
Dominick Drexler,Köln,27,11,"1,233",13.7,2,0.15,2020-2021,Bundesliga
Ondrej Duda,Köln,32,32,"2,537",28.2,7,0.25,2020-2021,Bundesliga
Erik Durm,Eint Frankfurt,21,19,"1,480",16.4,1,0.06,2020-2021,Bundesliga
Johannes Eggestein,Werder Bremen,2,0,33,0.4,0,0.00,2020-2021,Bundesliga
Maximilian Eggestein,Werder Bremen,33,33,"2,942",32.7,2,0.06,2020-2021,Bundesliga
Lilian Egloff,Stuttgart,2,0,16,0.2,0,0.00,2020-2021,Bundesliga
,,,,,,,,2020-2021,Bundesliga
Kingsley Ehizibue,Köln,21,15,"1,133",12.6,0,0.00,2020-2021,Bundesliga
Nico Elvedi,M'Gladbach,29,29,"2,536",28.2,3,0.11,2020-2021,Bundesliga
Breel Embolo,M'Gladbach,31,16,"1,440",16.0,5,0.31,2020-2021,Bundesliga
Keita Endo,Union Berlin,16,4,456,5.1,1,0.20,2020-2021,Bundesliga
Wataru Endo,Stuttgart,33,33,"2,955",32.8,3,0.09,2020-2021,Bundesliga
Patrick Erras,Werder Bremen,4,0,26,0.3,0,0.00,2020-2021,Bundesliga
Ralf Fährmann,Schalke 04,22,22,"1,876",20.8,0,0.00,2020-2021,Bundesliga
Ohis Felix Uduokhai,Augsburg,29,29,"2,610",29.0,1,0.03,2020-2021,Bundesliga
Edimilson Fernandes,Mainz 05,14,9,841,9.3,0,0.00,2020-2021,Bundesliga
Alfreð Finnbogason,Augsburg,17,4,544,6.0,0,0.00,2020-2021,Bundesliga
Mark Flekken,Freiburg,3,3,270,3.0,0,0.00,2020-2021,Bundesliga
Florian Flick,Schalke 04,4,4,360,4.0,1,0.25,2020-2021,Bundesliga
Emil Forsberg,RB Leipzig,29,20,"1,539",17.1,7,0.41,2020-2021,Bundesliga
Philipp Förster,Stuttgart,25,17,"1,509",16.8,3,0.18,2020-2021,Bundesliga
Timothy Fosu-Mensah,Leverkusen,6,5,409,4.5,0,0.00,2020-2021,Bundesliga
Raphael Framberger,Augsburg,21,19,"1,540",17.1,0,0.00,2020-2021,Bundesliga
Marco Friedl,Werder Bremen,32,31,"2,785",30.9,0,0.00,2020-2021,Bundesliga
Marvin Friedrich,Union Berlin,34,34,"3,060",34.0,5,0.15,2020-2021,Bundesliga
Jeremie Frimpong,Leverkusen,10,4,436,4.8,0,0.00,2020-2021,Bundesliga
Niclas Füllkrug,Werder Bremen,19,10,877,9.7,6,0.62,2020-2021,Bundesliga
Mijat Gaćinović,Hoffenheim,23,7,822,9.1,0,0.00,2020-2021,Bundesliga
Christian Gebauer,Arminia,23,5,687,7.6,1,0.13,2020-2021,Bundesliga
Theodor Gebre Selassie,Werder Bremen,34,34,"3,032",33.7,3,0.09,2020-2021,Bundesliga
Emrehan Gedikli,Leverkusen,1,0,25,0.3,0,0.00,2020-2021,Bundesliga
Dennis Geiger,Hoffenheim,9,9,658,7.3,1,0.14,2020-2021,Bundesliga
,,,,,,,,2020-2021,Bundesliga
Christian Gentner,Union Berlin,22,13,"1,033",11.5,0,0.00,2020-2021,Bundesliga
Yannick Gerhardt,Wolfsburg,29,21,"1,936",21.5,2,0.09,2020-2021,Bundesliga
Hamadi Al Ghaddioui,Stuttgart,6,0,46,0.5,0,0.00,2020-2021,Bundesliga
Niko Gießelmann,Union Berlin,13,4,430,4.8,0,0.00,2020-2021,Bundesliga
Rafał Gikiewicz,Augsburg,34,34,"3,060",34.0,0,0.00,2020-2021,Bundesliga
Daniel Ginczek,Wolfsburg,11,1,215,2.4,0,0.00,2020-2021,Bundesliga
Matthias Ginter,M'Gladbach,34,34,"3,060",34.0,2,0.06,2020-2021,Bundesliga
Robert Glatzel,Mainz 05,13,3,359,4.0,2,0.50,2020-2021,Bundesliga
Serge Gnabry,Bayern Munich,27,20,"1,644",18.3,10,0.55,2020-2021,Bundesliga
Akaki Gogia,Union Berlin,7,0,140,1.6,0,0.00,2020-2021,Bundesliga
Nicolás González,Stuttgart,15,10,934,10.4,6,0.58,2020-2021,Bundesliga
Leon Goretzka,Bayern Munich,24,18,"1,705",18.9,5,0.26,2020-2021,Bundesliga
Jeffrey Gouweleeuw,Augsburg,32,32,"2,835",31.5,1,0.03,2020-2021,Bundesliga
Demarai Gray,Leverkusen,10,5,442,4.9,1,0.20,2020-2021,Bundesliga
Michael Gregoritsch,Augsburg,24,9,835,9.3,1,0.11,2020-2021,Bundesliga
Sebastian Griesbeck,Union Berlin,24,8,890,9.9,0,0.00,2020-2021,Bundesliga
Vincenzo Grifo,Freiburg,31,27,"2,313",25.7,9,0.35,2020-2021,Bundesliga
Lennart Grill,Leverkusen,4,4,360,4.0,0,0.00,2020-2021,Bundesliga
Florian Grillitsch,Hoffenheim,26,22,"1,879",20.9,2,0.10,2020-2021,Bundesliga
Christian Groß,Werder Bremen,23,17,"1,468",16.3,0,0.00,2020-2021,Bundesliga
Ilia Gruev,Werder Bremen,1,0,1,0.0,0,0.00,2020-2021,Bundesliga
Carlos Gruezo,Augsburg,28,23,"2,084",23.2,0,0.00,2020-2021,Bundesliga
Mattéo Guendouzi,Hertha BSC,24,19,"1,818",20.2,2,0.10,2020-2021,Bundesliga
Raphaël Guerreiro,Dortmund,27,25,"2,218",24.6,5,0.20,2020-2021,Bundesliga
Josuha Guilavogui,Wolfsburg,20,7,747,8.3,0,0.00,2020-2021,Bundesliga
,,,,,,,,2020-2021,Bundesliga
Péter Gulácsi,RB Leipzig,33,33,"2,970",33.0,0,0.00,2020-2021,Bundesliga
Manuel Gulde,Freiburg,27,22,"1,954",21.7,2,0.09,2020-2021,Bundesliga
Robert Gumny,Augsburg,24,14,"1,377",15.3,1,0.07,2020-2021,Bundesliga
Christian Günter,Freiburg,34,34,"3,060",34.0,3,0.09,2020-2021,Bundesliga
Erling Haaland,Dortmund,28,27,"2,407",26.7,27,1.01,2020-2021,Bundesliga
Janik Haberer,Freiburg,14,5,486,5.4,0,0.00,2020-2021,Bundesliga
