Player,Squad,MP,Starts,Min,90s,Goals,Goals,Seasons,League
Juanpe,Girona,35,34,"3,065",34.1,5,0.15,2017-2018,La Liga
Juanpi,Málaga,16,5,610,6.8,0,0.00,2017-2018,La Liga
David Juncà,Eibar,15,10,901,10.0,0,0.00,2017-2018,La Liga
Aleksandar Katai,Alavés,3,0,55,0.6,0,0.00,2017-2018,La Liga
Olarenwaju Kayode,Girona,12,2,383,4.3,0,0.00,2017-2018,La Liga
Keko,Málaga,21,15,"1,209",13.4,0,0.00,2017-2018,La Liga
Kike,Eibar,35,28,"2,460",27.3,8,0.29,2017-2018,La Liga
Simon Kjær,Sevilla,20,18,"1,571",17.5,2,0.11,2017-2018,La Liga
Koke,Atlético Madrid,35,33,"2,756",30.6,4,0.13,2017-2018,La Liga
Geoffrey Kondogbia,Valencia,31,30,"2,614",29.0,4,0.14,2017-2018,La Liga
Mateo Kovačić,Real Madrid,21,10,992,11.0,0,0.00,2017-2018,La Liga
Maksym Koval,La Coruña,2,2,120,1.3,0,0.00,2017-2018,La Liga
Bojan Krkić,Alavés,13,4,441,4.9,0,0.00,2017-2018,La Liga
Michael Krohn-Dehli,La Coruña,11,10,728,8.1,0,0.00,2017-2018,La Liga
,,,,,,,,2017-2018,La Liga
Michael Krohn-Dehli,Sevilla,13,5,536,6.0,1,0.17,2017-2018,La Liga
Toni Kroos,Real Madrid,27,26,"2,261",25.1,5,0.20,2017-2018,La Liga
Zdravko Kuzmanović,Málaga,8,6,480,5.3,0,0.00,2017-2018,La Liga
Alberto de la Bella,Real Sociedad,17,17,"1,528",17.0,0,0.00,2017-2018,La Liga
Mehdi Lacen,Málaga,15,12,"1,056",11.7,0,0.00,2017-2018,La Liga
Mehdi Lacen,Getafe,4,0,62,0.7,0,0.00,2017-2018,La Liga
Víctor Laguardia,Alavés,17,17,"1,530",17.0,2,0.12,2017-2018,La Liga
Aymeric Laporte,Athletic Club,19,19,"1,710",19.0,0,0.00,2017-2018,La Liga
Borja Lasso,Sevilla,1,1,53,0.6,0,0.00,2017-2018,La Liga
Toni Lato,Valencia,16,9,797,8.9,0,0.00,2017-2018,La Liga
Miguel Layún,Sevilla,16,11,"1,184",13.2,2,0.15,2017-2018,La Liga
Iñigo Lekue,Athletic Club,32,22,"2,111",23.5,0,0.00,2017-2018,La Liga
Mauricio Lemos,Las Palmas,16,14,"1,261",14.0,0,0.00,2017-2018,La Liga
Clément Lenglet,Sevilla,35,33,"3,001",33.3,3,0.09,2017-2018,La Liga
Pedro León,Eibar,12,10,929,10.3,0,0.00,2017-2018,La Liga
Sergio León,Betis,31,23,"1,978",22.0,11,0.50,2017-2018,La Liga
Jefferson Lerma,Levante,26,25,"2,135",23.7,0,0.00,2017-2018,La Liga
Maxime Lestienne,Málaga,12,8,669,7.4,0,0.00,2017-2018,La Liga
Raúl Lizoain,Las Palmas,11,11,990,11.0,0,0.00,2017-2018,La Liga
Diego Llorente,Real Sociedad,27,26,"2,326",25.8,3,0.12,2017-2018,La Liga
Marcos Llorente,Real Madrid,13,5,546,6.1,0,0.00,2017-2018,La Liga
Stanislav Lobotka,Celta Vigo,38,34,"3,061",34.0,0,0.00,2017-2018,La Liga
David Lombán,Eibar,13,11,994,11.0,1,0.09,2017-2018,La Liga
Adrián López,La Coruña,30,26,"2,345",26.1,9,0.35,2017-2018,La Liga
Alberto López,Málaga,1,0,45,0.5,0,0.00,2017-2018,La Liga
,,,,,,,,2017-2018,La Liga
Andoni López,Athletic Club,1,1,90,1.0,0,0.00,2017-2018,La Liga
David López,Espanyol,37,37,"3,330",37.0,1,0.03,2017-2018,La Liga
Diego López,Espanyol,10,10,853,9.5,0,0.00,2017-2018,La Liga
Iván López,Levante,3,3,173,1.9,0,0.00,2017-2018,La Liga
Javi López,Espanyol,14,12,966,10.7,0,0.00,2017-2018,La Liga
Pedro López Muñoz,Levante,21,18,"1,594",17.7,0,0.00,2017-2018,La Liga
Pau López,Espanyol,29,28,"2,567",28.5,0,0.00,2017-2018,La Liga
Pedro López,Betis,5,4,412,4.6,0,0.00,2017-2018,La Liga
Víctor López,Alavés,1,1,60,0.7,0,0.00,2017-2018,La Liga
Anthony Lozano,Girona,14,4,471,5.2,1,0.19,2017-2018,La Liga
Filipe Luís,Atlético Madrid,20,19,"1,659",18.4,1,0.05,2017-2018,La Liga
José Luis Gayà,Valencia,34,33,"2,916",32.4,0,0.00,2017-2018,La Liga
José Luis Morales,Levante,35,35,"3,058",34.0,10,0.29,2017-2018,La Liga
Luisinho,La Coruña,30,29,"2,622",29.1,1,0.03,2017-2018,La Liga
Douglas Luiz,Girona,15,1,309,3.4,0,0.00,2017-2018,La Liga
Saša Lukić,Levante,16,12,994,11.0,0,0.00,2017-2018,La Liga
Antonio Luna,Levante,23,22,"2,021",22.5,0,0.00,2017-2018,La Liga
Pablo Maffeo,Girona,33,32,"2,642",29.4,0,0.00,2017-2018,La Liga
Nemanja Maksimović,Valencia,15,6,557,6.2,0,0.00,2017-2018,La Liga
Hugo Mallo,Celta Vigo,34,34,"2,999",33.3,0,0.00,2017-2018,La Liga
Aïssa Mandi,Betis,34,34,"3,024",33.6,1,0.03,2017-2018,La Liga
Martín Mantovani,Leganés,14,10,"1,022",11.4,1,0.09,2017-2018,La Liga
José Manuel Jurado,Espanyol,29,20,"1,501",16.7,0,0.00,2017-2018,La Liga
Marcelo,Real Madrid,28,26,"2,260",25.1,2,0.08,2017-2018,La Liga
Óscar de Marcos,Athletic Club,21,20,"1,658",18.4,1,0.05,2017-2018,La Liga
,,,,,,,,2017-2018,La Liga
José María Giménez,Atlético Madrid,23,17,"1,690",18.8,1,0.05,2017-2018,La Liga
Adrián Marín,Villarreal,3,2,233,2.6,0,0.00,2017-2018,La Liga
Guillermo Maripán,Alavés,19,17,"1,528",17.0,0,0.00,2017-2018,La Liga
Roger Martí,Levante,17,10,963,10.7,3,0.28,2017-2018,La Liga
Aarón Martín,Espanyol,32,31,"2,815",31.3,0,0.00,2017-2018,La Liga
Carlos Martínez,Real Sociedad,1,0,3,0.0,0,0.00,2017-2018,La Liga
Emiliano Martínez,Getafe,5,5,450,5.0,0,0.00,2017-2018,La Liga
Iñigo Martínez,Athletic Club,16,16,"1,440",16.0,0,0.00,2017-2018,La Liga
Iñigo Martínez,Real Sociedad,12,12,"1,055",11.7,1,0.09,2017-2018,La Liga
