"ID","City","Club","Stadium","Cap","Country"
249,"Sassuolo","MAPEI Stadium - Citta del Tricolore",,"20,084","Italy"
250,"Rome","Lazio",,,"Italy"
251,"Roma","Stadio Olimpico",,"72,698","Italy"
252,"Siena","Siena","Stadio Artemio Franchi","15,373","Italy"
253,"Turin","Juventus","Allianz Stadium","41,000","Italy"
254,"Turin","Torino","Stadio Olimpico di Torino","25,300","Italy"
255,"Udine","Udinese",,,"Italy"
256,"Pordenone","Stadio Friuli",,"25,000","Italy"
257,"Varese","--","Stadio Franco Ossola","9,926","Italy"
258,"Venice","Venezia","Stadio Pierluigi Penzo","7,450","Italy"
259,"Verona","Chievo Verona",,,"Italy"
260,"Hellas Verona","Stadio Marcantonio Bentegodi",,"39,221","Italy"
261,"A Coruna","Deportivo de La Coruna","Estadio ABANCA-Riazor","32,660","Spain"
262,"Alcorcon","AD Alcorcon","Estadio Municipal de Santo Domingo","5,880","Spain"
263,"Alicante","Alicante CF","Estadio Jose Rico Perez","29,500","Spain"
264,"Almeria","UD Almeria","Estadio de los Juegos Mediterraneos","15,000","Spain"
265,"Barakaldo","Barakaldo CF","Campo de Lasesarre","7,960","Spain"
266,"Barcelona","FC Barcelona","Camp Nou","99,354","Spain"
267,"Barcelona","RCD Espanyol","RCDE Stadium","40,500","Spain"
268,"Bilbao","Athletic Club","Estadio San Mames","53,000","Spain"
269,"Cadiz","Cadiz CF","Nuevo Estadio Ramon de Carranza","20,000","Spain"
270,"Cartagena","FC Cartagena","Estadio Cartagonova","15,105","Spain"
271,"Cordoba","Cordoba CF","Estadio El Arcangel","20,989","Spain"
272,"Eibar","SD Eibar","Estadio de Ipurua","7,083","Spain"
273,"Elche","Elche CF","Estadio Martinez Valero","36,017","Spain"
274,"Getafe","Getafe CF","Coliseum Alfonso Perez","17,500","Spain"
275,"Gijon","Real Sporting de Gijon","Estadio El Molinon","30,000","Spain"
276,"Girona","Girona FC","Estadi Municipal de Montilivi","9,500","Spain"
277,"Granada","Granada CF","Estadio de Los Carmenes","22,500","Spain"
278,"Huesca","SD Huesca","Estadio El Alcoraz","7,683","Spain"
279,"Irun","Real Union Club de Irun","Stadium Gal","5,000","Spain"
280,"Las Palmas","UD Las Palmas","Estadio de Gran Canaria","31,250","Spain"
281,"Leganes","CD Leganes","Estadio Municipal de Butarque","10,958","Spain"
284,"Madrid","Atletico de Madrid","Wanda Metropolitano","68,000","Spain"
285,"Madrid","Rayo Vallecano","Campo de Futbol de Vallecas","14,708","Spain"
286,"Madrid","Real Madrid CF","Estadio Santiago Bernabeu","81,044","Spain"
287,"Madrid","Real Madrid Castilla","Estadio Alfredo di Stefano","6,000","Spain"
288,"Malaga","Malaga CF","Estadio La Rosaleda","30,044","Spain"
289,"Murcia","Real Murcia FC","Estadio Enrique Roca de Murcia","31,179","Spain"
290,"Oviedo","Real Oviedo","Estadio Carlos Tartiere","30,500","Spain"
291,"Palma de Mallorca","RCD Mallorca","Iberostar Estadio","23,142","Spain"
292,"Pamplona","CA Osasuna","Estadio El Sadar","23,500","Spain"
293,"Ponferrada","SD Ponferradina","Estadio Municipal El Toralin","8,400","Spain"
294,"Sabadell","CE Sabadell FC","Estadi Municipal de la Nova Creu Alta","20,000","Spain"
295,"San Sebastian","Real Sociedad","Reale Arena","40,000","Spain"
296,"Santa Cruz de Tenerife","CD Tenerife","Estadio Heliodoro Rodriguez Lopez","22,824","Spain"
297,"Santander","Racing Club de Santander","Campos de Sport de El Sardinero","22,222","Spain"
298,"Seville","--","Estadio La Cartuja de Sevilla","60,000","Spain"
299,"Seville","Real Betis Balompie","Estadio Benito Villamarin","60,721","Spain"
300,"Seville","Sevilla FC","Estadio Ramon Sanchez Pizjuan","42,714","Spain"
301,"Soria","CD Numancia","Nuevo Estadio Los Pajaritos","8,727","Spain"
302,"Tarragona","Gimnastic de Tarragona","Nou Estadi","14,591","Spain"
303,"Valencia","Levante UD","Estadi Ciutat de Valencia","26,354","Spain"
304,"Valencia","Valencia CF","Estadio de Mestalla","55,000","Spain"
305,"Valladolid","Real Valladolid CF","Estadio Jose Zorrilla","26,512","Spain"
306,"Villarreal","Villarreal CF","Estadio El Madrigal","25,000","Spain"
307,"Vigo","RC Celta de Vigo","Estadio Municipal de Balaidos","31,800","Spain"
308,"Vitoria-Gasteiz","Deportivo Alaves","Estadio de Mendizorroza","19,840","Spain"
309,"Zaragoza","Real Zaragoza","Estadio La Romareda","34,596","Spain"
