Player,Squad,MP,Starts,Min,90s,Goals,Goals,Seasons,League
Danilo,Manchester City,23,13,"1,349",15.0,3,0.20,2017-2018,EPL
Scott Dann,Crystal Palace,17,16,"1,435",15.9,1,0.06,2017-2018,EPL
Karl Darlow,Newcastle Utd,10,10,900,10.0,0,0.00,2017-2018,EPL
Matteo Darmian,Manchester Utd,8,5,444,4.9,0,0.00,2017-2018,EPL
Ben Davies,Tottenham,29,26,"2,324",25.8,2,0.08,2017-2018,EPL
Tom Davies,Everton,33,20,"1,900",21.1,2,0.09,2017-2018,EPL
Steven Davis,Southampton,23,17,"1,521",16.9,3,0.18,2017-2018,EPL
Craig Dawson,West Brom,28,28,"2,510",27.9,2,0.07,2017-2018,EPL
Kevin De Bruyne,Manchester City,37,36,"3,073",34.1,8,0.23,2017-2018,EPL
Troy Deeney,Watford,29,20,"1,844",20.5,5,0.24,2017-2018,EPL
Jermain Defoe,Bournemouth,24,11,"1,088",12.1,4,0.33,2017-2018,EPL
Steven Defour,Burnley,24,24,"1,997",22.2,1,0.05,2017-2018,EPL
Damien Delaney,Crystal Palace,2,1,96,1.1,0,0.00,2017-2018,EPL
Fabian Delph,Manchester City,22,21,"1,741",19.3,1,0.05,2017-2018,EPL
Mousa Dembélé,Tottenham,28,21,"1,879",20.9,0,0.00,2017-2018,EPL
Laurent Depoitre,Huddersfield,33,18,"1,820",20.2,6,0.30,2017-2018,EPL
,,,,,,,,2017-2018,EPL
Mike van der Hoorn,Swansea City,24,24,"1,944",21.6,1,0.05,2017-2018,EPL
Gerard Deulofeu,Watford,7,5,435,4.8,1,0.21,2017-2018,EPL
Fousseni Diabaté,Leicester City,14,5,587,6.5,0,0.00,2017-2018,EPL
Mohamed Diamé,Newcastle Utd,31,23,"2,041",22.7,2,0.09,2017-2018,EPL
Brahim Díaz,Manchester City,5,0,55,0.6,0,0.00,2017-2018,EPL
Eric Dier,Tottenham,34,32,"2,824",31.4,0,0.00,2017-2018,EPL
Abdoulaye Doucouré,Watford,37,37,"3,324",36.9,7,0.19,2017-2018,EPL
Aleksandar Dragović,Leicester City,11,7,769,8.5,0,0.00,2017-2018,EPL
Danny Drinkwater,Chelsea,12,5,527,5.9,1,0.17,2017-2018,EPL
Martin Dúbravka,Newcastle Utd,12,12,"1,080",12.0,0,0.00,2017-2018,EPL
Shane Duffy,Brighton,37,37,"3,292",36.6,0,0.00,2017-2018,EPL
Paul Dummett,Newcastle Utd,20,19,"1,602",17.8,0,0.00,2017-2018,EPL
Lewis Dunk,Brighton,38,38,"3,420",38.0,1,0.03,2017-2018,EPL
Nathan Dyer,Swansea City,24,16,"1,307",14.5,0,0.00,2017-2018,EPL
Ederson,Manchester City,36,36,"3,194",35.5,0,0.00,2017-2018,EPL
Tom Edwards,Stoke City,6,6,481,5.3,0,0.00,2017-2018,EPL
Rob Elliot,Newcastle Utd,16,16,"1,440",16.0,0,0.00,2017-2018,EPL
Mohamed Elneny,Arsenal,13,11,867,9.6,0,0.00,2017-2018,EPL
Christian Eriksen,Tottenham,37,37,"3,218",35.8,10,0.28,2017-2018,EPL
Jonny Evans,West Brom,28,26,"2,270",25.2,2,0.08,2017-2018,EPL
Patrice Evra,West Ham,5,3,228,2.5,0,0.00,2017-2018,EPL
Łukasz Fabiański,Swansea City,38,38,"3,420",38.0,0,0.00,2017-2018,EPL
Cesc Fàbregas,Chelsea,32,25,"2,307",25.6,2,0.08,2017-2018,EPL
Marouane Fellaini,Manchester Utd,16,5,683,7.6,4,0.53,2017-2018,EPL
Kiko Femenía,Watford,23,19,"1,713",19.0,1,0.05,2017-2018,EPL
,,,,,,,,2017-2018,EPL
Leroy Fer,Swansea City,20,15,"1,397",15.5,1,0.06,2017-2018,EPL
Edimilson Fernandes,West Ham,14,9,845,9.4,0,0.00,2017-2018,EPL
Federico Fernández,Swansea City,30,30,"2,676",29.7,1,0.03,2017-2018,EPL
Fernandinho,Manchester City,34,33,"2,881",32.0,5,0.16,2017-2018,EPL
Sam Field,West Brom,10,7,537,6.0,1,0.17,2017-2018,EPL
Roberto Firmino,Liverpool,37,32,"2,763",30.7,15,0.49,2017-2018,EPL
Darren Fletcher,Stoke City,27,25,"2,219",24.7,1,0.04,2017-2018,EPL
Phil Foden,Manchester City,5,0,49,0.5,0,0.00,2017-2018,EPL
José Fonte,West Ham,8,8,688,7.6,0,0.00,2017-2018,EPL
Fraser Forster,Southampton,20,20,"1,800",20.0,0,0.00,2017-2018,EPL
Ben Foster,West Brom,37,37,"3,330",37.0,0,0.00,2017-2018,EPL
Timothy Fosu-Mensah,Crystal Palace,21,17,"1,596",17.7,0,0.00,2017-2018,EPL
Simon Francis,Bournemouth,32,31,"2,705",30.1,0,0.00,2017-2018,EPL
Ryan Fraser,Bournemouth,26,23,"2,004",22.3,5,0.22,2017-2018,EPL
Christian Fuchs,Leicester City,25,21,"1,921",21.3,0,0.00,2017-2018,EPL
Jay Fulton,Swansea City,2,0,19,0.2,0,0.00,2017-2018,EPL
Ramiro Funes Mori,Everton,4,1,121,1.3,0,0.00,2017-2018,EPL
Manolo Gabbiadini,Southampton,28,11,"1,081",12.0,5,0.42,2017-2018,EPL
Jesús Gámez,Newcastle Utd,2,1,98,1.1,0,0.00,2017-2018,EPL
Idrissa Gana Gueye,Everton,33,32,"2,751",30.6,2,0.07,2017-2018,EPL
Dwight Gayle,Newcastle Utd,35,23,"1,958",21.8,6,0.28,2017-2018,EPL
Paulo Gazzaniga,Tottenham,1,1,90,1.0,0,0.00,2017-2018,EPL
David de Gea,Manchester Utd,37,37,"3,330",37.0,0,0.00,2017-2018,EPL
Kieran Gibbs,West Brom,33,32,"2,827",31.4,0,0.00,2017-2018,EPL
Olivier Giroud,Arsenal,16,1,388,4.3,4,0.93,2017-2018,EPL
,,,,,,,,2017-2018,EPL
Olivier Giroud,Chelsea,13,6,613,6.8,3,0.44,2017-2018,EPL
Connor Goldson,Brighton,3,2,200,2.2,0,0.00,2017-2018,EPL
Heurelho Gomes,Watford,24,24,"2,128",23.6,0,0.00,2017-2018,EPL
Joe Gomez,Liverpool,23,21,"1,902",21.1,0,0.00,2017-2018,EPL
Dan Gosling,Bournemouth,28,21,"1,947",21.6,2,0.09,2017-2018,EPL
Lee Grant,Stoke City,3,3,270,3.0,0,0.00,2017-2018,EPL
Andre Gray,Watford,31,16,"1,498",16.6,5,0.30,2017-2018,EPL
Demarai Gray,Leicester City,35,17,"1,697",18.9,3,0.16,2017-2018,EPL
Pascal Groß,Brighton,38,35,"2,928",32.5,7,0.22,2017-2018,EPL
Marko Grujić,Liverpool,3,0,16,0.2,0,0.00,2017-2018,EPL
İlkay Gündoğan,Manchester City,30,15,"1,517",16.9,4,0.24,2017-2018,EPL
Florent Hadergjonaj,Huddersfield,23,19,"1,674",18.6,0,0.00,2017-2018,EPL
Massadio Haïdara,Newcastle Utd,1,0,4,0.0,0,0.00,2017-2018,EPL
Ben Hamer,Leicester City,4,3,275,3.1,0,0.00,2017-2018,EPL
Rekeem Harper,West Brom,1,0,21,0.2,0,0.00,2017-2018,EPL
Joe Hart,West Ham,19,19,"1,710",19.0,0,0.00,2017-2018,EPL
Isaac Hayden,Newcastle Utd,26,15,"1,374",15.3,1,0.07,2017-2018,EPL
Eden Hazard,Chelsea,34,28,"2,422",26.9,12,0.45,2017-2018,EPL
Tom Heaton,Burnley,4,4,305,3.4,0,0.00,2017-2018,EPL
Michael Hefele,Huddersfield,2,0,33,0.4,0,0.00,2017-2018,EPL
Ahmed Hegazi,West Brom,38,38,"3,386",37.6,2,0.05,2017-2018,EPL
Tomer Hemed,Brighton,16,9,849,9.4,2,0.21,2017-2018,EPL
Jordan Henderson,Liverpool,27,25,"2,171",24.1,1,0.04,2017-2018,EPL
Jeff Hendrick,Burnley,34,29,"2,331",25.9,2,0.08,2017-2018,EPL
Wayne Hennessey,Crystal Palace,27,27,"2,430",27.0,0,0.00,2017-2018,EPL
,,,,,,,,2017-2018,EPL
Javier Hernández,West Ham,28,16,"1,548",17.2,8,0.47,2017-2018,EPL
Ander Herrera,Manchester Utd,26,13,"1,268",14.1,0,0.00,2017-2018,EPL
Son Heung-min,Tottenham,37,27,"2,317",25.7,12,0.47,2017-2018,EPL
Wesley Hoedt,Southampton,28,28,"2,520",28.0,0,0.00,2017-2018,EPL
Jonathan Hogg,Huddersfield,30,29,"2,398",26.6,0,0.00,2017-2018,EPL
Rob Holding,Arsenal,12,9,822,9.1,0,0.00,2017-2018,EPL
José Holebas,Watford,28,26,"2,382",26.5,0,0.00,2017-2018,EPL
Mason Holgate,Everton,15,13,"1,184",13.2,0,0.00,2017-2018,EPL
Callum Hudson-Odoi,Chelsea,2,0,29,0.3,0,0.00,2017-2018,EPL
Will Hughes,Watford,15,11,990,11.0,2,0.18,2017-2018,EPL
Jordan Hugill,West Ham,3,0,25,0.3,0,0.00,2017-2018,EPL
Uwe Hünemeier,Brighton,1,0,18,0.2,0,0.00,2017-2018,EPL
Emerson Hyndman,Bournemouth,1,1,58,0.6,0,0.00,2017-2018,EPL
Pierre Højbjerg,Southampton,23,19,"1,670",18.6,0,0.00,2017-2018,EPL
Jordon Ibe,Bournemouth,32,22,"1,995",22.2,2,0.09,2017-2018,EPL
Vicente Iborra,Leicester City,19,17,"1,410",15.7,3,0.19,2017-2018,EPL
Zlatan Ibrahimović,Manchester Utd,5,1,106,1.2,0,0.00,2017-2018,EPL
Kelechi Iheanacho,Leicester City,21,7,830,9.2,3,0.33,2017-2018,EPL
Tom Ince,Huddersfield,33,27,"2,452",27.2,2,0.07,2017-2018,EPL
Danny Ings,Liverpool,8,3,267,3.0,1,0.34,2017-2018,EPL
Stephen Ireland,Stoke City,4,1,131,1.5,0,0.00,2017-2018,EPL
Alex Iwobi,Arsenal,26,22,"1,830",20.3,3,0.15,2017-2018,EPL
José Izquierdo,Brighton,32,23,"1,984",22.0,5,0.23,2017-2018,EPL
Phil Jagielka,Everton,25,23,"2,065",22.9,0,0.00,2017-2018,EPL
Eldin Jakupović,Leicester City,2,2,180,2.0,0,0.00,2017-2018,EPL
,,,,,,,,2017-2018,EPL
Matty James,Leicester City,13,11,993,11.0,0,0.00,2017-2018,EPL
Daryl Janmaat,Watford,23,21,"1,820",20.2,3,0.15,2017-2018,EPL
Vincent Janssen,Tottenham,1,0,1,0.0,0,0.00,2017-2018,EPL
Jesé,Stoke City,13,8,614,6.8,1,0.15,2017-2018,EPL
Gabriel Jesus,Manchester City,29,19,"1,668",18.5,13,0.70,2017-2018,EPL
Glen Johnson,Stoke City,9,7,547,6.1,0,0.00,2017-2018,EPL
Phil Jones,Manchester Utd,23,23,"1,973",21.9,0,0.00,2017-2018,EPL
Joselu,Newcastle Utd,30,19,"1,712",19.0,4,0.21,2017-2018,EPL
Mathias Jørgensen,Huddersfield,38,38,"3,420",38.0,0,0.00,2017-2018,EPL
Christian Kabasele,Watford,28,27,"2,330",25.9,2,0.08,2017-2018,EPL
Younès Kaboul,Watford,2,2,150,1.7,0,0.00,2017-2018,EPL
Elias Kachunga,Huddersfield,19,17,"1,329",14.8,1,0.07,2017-2018,EPL
Sullay Kaikai,Crystal Palace,1,0,14,0.2,0,0.00,2017-2018,EPL
Harry Kane,Tottenham,37,35,"3,076",34.2,30,0.88,2017-2018,EPL
N'Golo Kanté,Chelsea,34,34,"2,994",33.3,1,0.03,2017-2018,EPL
Loris Karius,Liverpool,19,19,"1,710",19.0,0,0.00,2017-2018,EPL
