Player,Squad,MP,Starts,Min,90s,Goals,Seasons,League
Danilo,eng Manchester City,6,4,368,4.1,0,2017-2018,UEFA
Matteo Darmian,eng Manchester Utd,3,2,203,2.3,0,2017-2018,UEFA
Ben Davies,eng Tottenham,5,5,450,5.0,0,2017-2018,UEFA
Kevin De Bruyne,eng Manchester City,8,8,667,7.4,1,2017-2018,UEFA
Daniele De Rossi,it Roma,10,9,776,8.6,1,2017-2018,UEFA
Mattia De Sciglio,it Juventus,6,6,393,4.4,0,2017-2018,UEFA
Grégoire Defrel,it Roma,5,2,166,1.8,0,2017-2018,UEFA
Fabian Delph,eng Manchester City,5,4,383,4.3,0,2017-2018,UEFA
Mousa Dembélé,eng Tottenham,6,3,328,3.6,0,2017-2018,UEFA
Moussa Dembélé,sct Celtic,4,3,266,3.0,1,2017-2018,UEFA
Ousmane Dembélé,es Barcelona,3,2,143,1.6,1,2017-2018,UEFA
,,,,,,,2017-2018,UEFA
Diego Demme,de RB Leipzig,4,3,325,3.6,0,2017-2018,UEFA
Leander Dendoncker,be Anderlecht,6,6,540,6.0,0,2017-2018,UEFA
Dentinho,ua Shakhtar,5,0,34,0.4,0,2017-2018,UEFA
Jan-Arie van der Heijden,nl Feyenoord,1,1,90,1.0,0,2017-2018,UEFA
Olivier Deschacht,be Anderlecht,4,4,326,3.6,0,2017-2018,UEFA
Gerard Deulofeu,es Barcelona,3,2,147,1.6,0,2017-2018,UEFA
Ángel Di María,fr Paris S-G,5,1,143,1.6,1,2017-2018,UEFA
Adama Diakhaby,fr Monaco,5,3,228,2.5,0,2017-2018,UEFA
Lassana Diarra,fr Paris S-G,1,0,5,0.1,0,2017-2018,UEFA
Rúben Dias,pt Benfica,2,2,180,2.0,0,2017-2018,UEFA
Amadou Diawara,it Napoli,5,4,370,4.1,1,2017-2018,UEFA
Brahim Díaz,eng Manchester City,3,0,52,0.6,0,2017-2018,UEFA
Serey Die,ch Basel,5,3,287,3.2,0,2017-2018,UEFA
Eric Dier,eng Tottenham,7,7,614,6.8,0,2017-2018,UEFA
Lucas Digne,es Barcelona,3,3,270,3.0,1,2017-2018,UEFA
Kevin Diks,nl Feyenoord,3,2,180,2.0,0,2017-2018,UEFA
Joshgun Diniyev,az Qaraba? FK,2,0,64,0.7,0,2017-2018,UEFA
Bas Dost,pt Sporting CP,6,3,378,4.2,2,2017-2018,UEFA
Douglas,pt Benfica,3,3,270,3.0,0,2017-2018,UEFA
Seydou Doumbia,pt Sporting CP,4,2,119,1.3,1,2017-2018,UEFA
Julian Draxler,fr Paris S-G,8,3,315,3.5,0,2017-2018,UEFA
Danny Drinkwater,eng Chelsea,3,0,40,0.4,0,2017-2018,UEFA
Paulo Dybala,it Juventus,8,8,661,7.3,1,2017-2018,UEFA
Alan Dzagoev,ru CSKA Moscow,5,4,367,4.1,1,2017-2018,UEFA
Edin Džeko,it Roma,12,12,"1,078",12.0,8,2017-2018,UEFA
,,,,,,,2017-2018,UEFA
Georgi Dzhikiya,ru Spartak Moscow,5,5,420,4.7,0,2017-2018,UEFA
Lorenzo Ebecilio,cy APOEL FC,4,3,259,2.9,0,2017-2018,UEFA
Ederson,eng Manchester City,9,9,810,9.0,0,2017-2018,UEFA
