Player,Squad,MP,Starts,Min,90s,Goals,Seasons,League
Reinildo Mandava,fr Lille,2,2,180,2.0,0,2019-2020,UEFA
,,,,,,,2019-2020,UEFA
Sadio Mané,eng Liverpool,8,7,631,7.0,2,2019-2020,UEFA
Eliaquim Mangala,es Valencia,2,1,91,1.0,0,2019-2020,UEFA
Kostas Manolas,it Napoli,6,6,540,6.0,0,2019-2020,UEFA
Fernando Marçal,fr Lyon,7,6,507,5.6,0,2019-2020,UEFA
Marcão,tr Galatasaray,6,6,540,6.0,0,2019-2020,UEFA
Marcelo,es Real Madrid,4,3,266,3.0,0,2019-2020,UEFA
Marcelo,fr Lyon,10,8,725,8.1,0,2019-2020,UEFA
José María Giménez,es Atlético Madrid,5,4,299,3.3,0,2019-2020,UEFA
Mariano,tr Galatasaray,6,6,539,6.0,0,2019-2020,UEFA
Marko Marin,rs Red Star,6,6,540,6.0,0,2019-2020,UEFA
Guilherme Marinato,ru Loko Moscow,5,5,450,5.0,0,2019-2020,UEFA
João Mário,ru Loko Moscow,4,4,353,3.9,0,2019-2020,UEFA
Marlos,ua Shakhtar,5,4,368,4.1,0,2019-2020,UEFA
Marquinhos,fr Paris S-G,11,11,969,10.8,2,2019-2020,UEFA
Javi Martínez,de Bayern Munich,7,4,343,3.8,0,2019-2020,UEFA
Lautaro Martínez,it Inter,6,6,520,5.8,5,2019-2020,UEFA
Lisandro Martínez,nl Ajax,6,6,537,6.0,0,2019-2020,UEFA
Andrea Masiello,it Atalanta,4,4,217,2.4,0,2019-2020,UEFA
Lukáš Masopust,cz Slavia Prague,6,6,470,5.2,0,2019-2020,UEFA
Giorgos Masouras,gr Olympiacos,6,5,423,4.7,0,2019-2020,UEFA
Clinton Mata,be Club Brugge,4,4,359,4.0,0,2019-2020,UEFA
Joël Matip,eng Liverpool,1,1,90,1.0,0,2019-2020,UEFA
Blaise Matuidi,it Juventus,5,4,340,3.8,1,2019-2020,UEFA
Mykola Matviyenko,ua Shakhtar,6,6,535,5.9,0,2019-2020,UEFA
Eric Maxim Choupo-Moting,fr Paris S-G,6,1,130,1.4,1,2019-2020,UEFA
,,,,,,,2019-2020,UEFA
Noussair Mazraoui,nl Ajax,3,3,225,2.5,0,2019-2020,UEFA
Kylian Mbappé,fr Paris S-G,10,6,654,7.3,5,2019-2020,UEFA
Brandon Mechele,be Club Brugge,5,5,450,5.0,0,2019-2020,UEFA
Arthur Melo,es Barcelona,4,3,298,3.3,0,2019-2020,UEFA
Memphis,fr Lyon,8,8,590,6.6,6,2019-2020,UEFA
Thiago Mendes,fr Lyon,8,4,462,5.1,0,2019-2020,UEFA
Benjamin Mendy,eng Manchester City,6,5,438,4.9,0,2019-2020,UEFA
Ferland Mendy,es Real Madrid,5,4,409,4.5,0,2019-2020,UEFA
Alex Meret,it Napoli,6,6,540,6.0,0,2019-2020,UEFA
Yassine Meriah,gr Olympiacos,6,6,540,6.0,0,2019-2020,UEFA
Dries Mertens,it Napoli,8,7,583,6.5,6,2019-2020,UEFA
Lionel Messi,es Barcelona,8,7,662,7.4,3,2019-2020,UEFA
Thomas Meunier,fr Paris S-G,5,5,450,5.0,1,2019-2020,UEFA
Simon Mignolet,be Club Brugge,6,6,540,6.0,0,2019-2020,UEFA
Arkadiusz Milik,it Napoli,5,2,215,2.4,3,2019-2020,UEFA
Éder Militão,es Real Madrid,3,3,270,3.0,0,2019-2020,UEFA
James Milner,eng Liverpool,8,4,417,4.6,0,2019-2020,UEFA
Nemanja Milunovi?,rs Red Star,6,6,540,6.0,1,2019-2020,UEFA
Takumi Minamino,at RB Salzburg,6,6,508,5.6,2,2019-2020,UEFA
Takumi Minamino,eng Liverpool,1,0,8,0.1,0,2019-2020,UEFA
Aleksei Miranchuk,ru Loko Moscow,4,4,360,4.0,2,2019-2020,UEFA
Anton Miranchuk,ru Loko Moscow,1,1,90,1.0,0,2019-2020,UEFA
Matej Mitrovi?,be Club Brugge,1,1,90,1.0,0,2019-2020,UEFA
Luka Modri?,es Real Madrid,6,4,391,4.3,1,2019-2020,UEFA
Monchu,es Barcelona,1,0,7,0.1,0,2019-2020,UEFA
,,,,,,,2019-2020,UEFA
Emre Mor,tr Galatasaray,4,1,110,1.2,0,2019-2020,UEFA
Júnior Moraes,ua Shakhtar,6,6,525,5.8,2,2019-2020,UEFA
Álvaro Morata,es Atlético Madrid,8,5,487,5.4,3,2019-2020,UEFA
Nikola Moro,hr Dinamo Zagreb,5,5,415,4.6,0,2019-2020,UEFA
François Moubandje,hr Dinamo Zagreb,1,1,90,1.0,0,2019-2020,UEFA
Mason Mount,eng Chelsea,8,6,450,5.0,0,2019-2020,UEFA
Lucas Moura,eng Tottenham,6,5,399,4.4,1,2019-2020,UEFA
Nordi Mukiele,de RB Leipzig,10,7,698,7.8,0,2019-2020,UEFA
Thomas Müller,de Bayern Munich,10,7,711,7.9,4,2019-2020,UEFA
Simone Muratore,it Juventus,1,0,1,0.0,0,2019-2020,UEFA
Luis Muriel,it Atalanta,6,2,220,2.4,1,2019-2020,UEFA
Fernando Muslera,tr Galatasaray,6,6,540,6.0,0,2019-2020,UEFA
Yvon Mvogo,de RB Leipzig,1,0,27,0.3,0,2019-2020,UEFA
Enock Mwepu,at RB Salzburg,5,4,403,4.5,0,2019-2020,UEFA
Joakim Mæhle,be Genk,6,6,540,6.0,0,2019-2020,UEFA
Nacho,es Real Madrid,1,1,45,0.5,0,2019-2020,UEFA
Yuto Nagatomo,tr Galatasaray,6,6,523,5.8,0,2019-2020,UEFA
Keylor Navas,fr Paris S-G,9,9,798,8.9,0,2019-2020,UEFA
Tanguy Ndombele,eng Tottenham,6,4,339,3.8,0,2019-2020,UEFA
Dieumerci Ndongala,be Genk,3,1,119,1.3,0,2019-2020,UEFA
David Neres,nl Ajax,4,2,180,2.0,0,2019-2020,UEFA
Neto,es Barcelona,1,1,90,1.0,0,2019-2020,UEFA
Manuel Neuer,de Bayern Munich,11,11,990,11.0,0,2019-2020,UEFA
Neymar,fr Paris S-G,7,6,585,6.5,3,2019-2020,UEFA
Tanguy Nianzou,fr Paris S-G,2,1,75,0.8,0,2019-2020,UEFA
,,,,,,,2019-2020,UEFA
Saúl Ñíguez,es Atlético Madrid,9,9,840,9.3,1,2019-2020,UEFA
Rasmus Nissen,at RB Salzburg,6,6,533,5.9,0,2019-2020,UEFA
Christopher Nkunku,de RB Leipzig,9,7,510,5.7,0,2019-2020,UEFA
Casper de Norre,be Genk,3,3,255,2.8,0,2019-2020,UEFA
Steven Nzonzi,tr Galatasaray,5,5,386,4.3,0,2019-2020,UEFA
Jan Oblak,es Atlético Madrid,9,9,840,9.3,0,2019-2020,UEFA
Stephen Odey,be Genk,1,0,10,0.1,1,2019-2020,UEFA
Álvaro Odriozola,de Bayern Munich,1,0,20,0.2,0,2019-2020,UEFA
Álvaro Odriozola,es Real Madrid,1,1,90,1.0,0,2019-2020,UEFA
David Okereke,be Club Brugge,4,2,173,1.9,0,2019-2020,UEFA
Masaya Okugawa,at RB Salzburg,4,0,76,0.8,0,2019-2020,UEFA
Peter Olayinka,cz Slavia Prague,6,6,534,5.9,1,2019-2020,UEFA
Marco Olivieri,it Juventus,1,0,7,0.1,0,2019-2020,UEFA
Dani Olmo,de RB Leipzig,2,2,127,1.4,1,2019-2020,UEFA
Dani Olmo,hr Dinamo Zagreb,6,6,539,6.0,2,2019-2020,UEFA
André Onana,nl Ajax,6,6,540,6.0,0,2019-2020,UEFA
Jérôme Onguéné,at RB Salzburg,4,4,360,4.0,0,2019-2020,UEFA
Paul Onuachu,be Genk,5,2,214,2.4,0,2019-2020,UEFA
Loïs Openda,be Club Brugge,4,1,138,1.5,0,2019-2020,UEFA
Willi Orban,de RB Leipzig,4,3,279,3.1,0,2019-2020,UEFA
Divock Origi,eng Liverpool,6,1,190,2.1,0,2019-2020,UEFA
Mislav Orši?,hr Dinamo Zagreb,6,6,471,5.2,4,2019-2020,UEFA
Victor Osimhen,fr Lille,5,5,450,5.0,2,2019-2020,UEFA
Yordan Osorio,ru Zenit,5,3,324,3.6,0,2019-2020,UEFA
David Ospina,it Napoli,2,2,180,2.0,0,2019-2020,UEFA
,,,,,,,2019-2020,UEFA
Nicolás Otamendi,eng Manchester City,8,6,557,6.2,0,2019-2020,UEFA
Alex Oxlade-Chamberlain,eng Liverpool,5,3,281,3.1,3,2019-2020,UEFA
?ener Özbayrakl?,tr Galatasaray,2,0,20,0.2,0,2019-2020,UEFA
Magomed Ozdoyev,ru Zenit,6,5,463,5.1,1,2019-2020,UEFA
Joseph Paintsil,be Genk,3,2,156,1.7,0,2019-2020,UEFA
Emerson Palmieri,eng Chelsea,3,2,199,2.2,0,2019-2020,UEFA
Radovan Pankov,rs Red Star,1,0,22,0.2,0,2019-2020,UEFA
Leandro Paredes,fr Paris S-G,6,4,370,4.1,0,2019-2020,UEFA
Daniel Parejo,es Valencia,8,8,720,8.0,1,2019-2020,UEFA
Thomas Partey,es Atlético Madrid,8,8,735,8.2,1,2019-2020,UEFA
Mario Pašali?,it Atalanta,9,7,690,7.7,3,2019-2020,UEFA
Alan Patrick,ua Shakhtar,6,6,494,5.5,1,2019-2020,UEFA
Paulinho,de Leverkusen,2,0,38,0.4,0,2019-2020,UEFA
Gabriel Paulista,es Valencia,6,6,539,6.0,0,2019-2020,UEFA
Benjamin Pavard,de Bayern Munich,8,7,639,7.1,0,2019-2020,UEFA
Milan Pavkov,rs Red Star,3,2,188,2.1,0,2019-2020,UEFA
Pedro,eng Chelsea,3,0,99,1.1,0,2019-2020,UEFA
Carles Pérez,es Barcelona,1,1,84,0.9,1,2019-2020,UEFA
Dino Peri?,hr Dinamo Zagreb,5,5,450,5.0,0,2019-2020,UEFA
Ivan Periši?,de Bayern Munich,10,5,423,4.7,3,2019-2020,UEFA
Bruno Petkovi?,hr Dinamo Zagreb,6,5,463,5.1,1,2019-2020,UEFA
Njegoš Petrovi?,rs Red Star,5,3,302,3.4,0,2019-2020,UEFA
Jérémy Pied,fr Lille,1,1,90,1.0,0,2019-2020,UEFA
Gerard Piqué,es Barcelona,7,7,629,7.0,0,2019-2020,UEFA
?ukasz Piszczek,de Dortmund,6,4,362,4.0,0,2019-2020,UEFA
,,,,,,,2019-2020,UEFA
Pizzi,pt Benfica,6,4,402,4.5,3,2019-2020,UEFA
Miralem Pjani?,it Juventus,8,8,656,7.3,0,2019-2020,UEFA
Daniel Podence,gr Olympiacos,6,5,457,5.1,1,2019-2020,UEFA
Matteo Politano,it Napoli,2,0,38,0.4,0,2019-2020,UEFA
Matteo Politano,it Inter,4,0,65,0.7,0,2019-2020,UEFA
Marin Pongra?i?,at RB Salzburg,1,1,45,0.5,0,2019-2020,UEFA
Yussuf Poulsen,de RB Leipzig,8,6,576,6.4,0,2019-2020,UEFA
Quincy Promes,nl Ajax,5,5,423,4.7,4,2019-2020,UEFA
Lukáš Provod,cz Slavia Prague,2,0,15,0.2,0,2019-2020,UEFA
Christian Pulisic,eng Chelsea,4,3,266,3.0,1,2019-2020,UEFA
Andriy Pyatov,ua Shakhtar,6,6,540,6.0,0,2019-2020,UEFA
Adrien Rabiot,it Juventus,5,4,367,4.1,0,2019-2020,UEFA
Rafael,fr Lyon,1,1,72,0.8,0,2019-2020,UEFA
Ivan Rakiti?,es Barcelona,7,4,345,3.8,0,2019-2020,UEFA
Yaroslav Rakitskiy,ru Zenit,5,5,450,5.0,1,2019-2020,UEFA
André Ramalho,at RB Salzburg,2,2,180,2.0,0,2019-2020,UEFA
Sergio Ramos,es Real Madrid,5,5,445,4.9,2,2019-2020,UEFA
Aaron Ramsey,it Juventus,6,2,202,2.2,1,2019-2020,UEFA
Lazar Ran?elovi?,gr Olympiacos,4,1,88,1.0,0,2019-2020,UEFA
Jeff Reine-Adélaïde,fr Lyon,8,3,328,3.6,0,2019-2020,UEFA
Francisco Reis Ferreira,pt Benfica,5,5,375,4.2,0,2019-2020,UEFA
Loïc Rémy,fr Lille,4,2,209,2.3,1,2019-2020,UEFA
Panagiotis Retsos,de Leverkusen,2,1,100,1.1,0,2019-2020,UEFA
Marco Reus,de Dortmund,4,4,360,4.0,0,2019-2020,UEFA
Gio Reyna,de Dortmund,2,0,43,0.5,0,2019-2020,UEFA
,,,,,,,2019-2020,UEFA
Jander Ribeiro Santana,rs Red Star,3,1,144,1.6,0,2019-2020,UEFA
Federico Ricca,be Club Brugge,3,3,270,3.0,0,2019-2020,UEFA
Sergio Rico,fr Paris S-G,3,2,192,2.1,0,2019-2020,UEFA
Mats Rits,be Club Brugge,5,5,395,4.4,0,2019-2020,UEFA
Sergi Roberto,es Barcelona,6,4,411,4.6,0,2019-2020,UEFA
Andrew Robertson,eng Liverpool,8,7,649,7.2,1,2019-2020,UEFA
Milan Rodi?,rs Red Star,5,5,441,4.9,0,2019-2020,UEFA
Rodri,eng Manchester City,8,8,620,6.9,0,2019-2020,UEFA
Rodrigo,es Valencia,6,6,526,5.8,2,2019-2020,UEFA
James Rodríguez,es Real Madrid,2,1,81,0.9,0,2019-2020,UEFA
Rodrygo,es Real Madrid,5,4,330,3.7,4,2019-2020,UEFA
Cristiano Ronaldo,it Juventus,8,8,711,7.9,4,2019-2020,UEFA
Marten de Roon,it Atalanta,9,9,764,8.5,0,2019-2020,UEFA
Danny Rose,eng Tottenham,4,4,360,4.0,0,2019-2020,UEFA
Antonio Rüdiger,eng Chelsea,2,2,180,2.0,0,2019-2020,UEFA
Daniele Rugani,it Juventus,2,2,180,2.0,0,2019-2020,UEFA
Mário Rui,it Napoli,7,7,527,5.9,0,2019-2020,UEFA
Fabián Ruiz Peña,it Napoli,8,8,708,7.9,0,2019-2020,UEFA
Maciej Rybus,ru Loko Moscow,5,5,450,5.0,0,2019-2020,UEFA
José Sá,gr Olympiacos,6,6,540,6.0,0,2019-2020,UEFA
Marcel Sabitzer,de RB Leipzig,9,9,805,8.9,4,2019-2020,UEFA
Mohamed Salah,eng Liverpool,8,8,730,8.1,4,2019-2020,UEFA
Andreas Samaris,pt Benfica,1,0,10,0.1,0,2019-2020,UEFA
Mbwana Samatta,be Genk,6,6,512,5.7,3,2019-2020,UEFA
Renato Sanches,fr Lille,5,1,124,1.4,0,2019-2020,UEFA
,,,,,,,2019-2020,UEFA
Alexis Sánchez,it Inter,1,1,65,0.7,0,2019-2020,UEFA
Davinson Sánchez,eng Tottenham,5,5,450,5.0,0,2019-2020,UEFA
Jadon Sancho,de Dortmund,8,7,644,7.2,2,2019-2020,UEFA
Alex Sandro,it Juventus,6,6,540,6.0,0,2019-2020,UEFA
Douglas Santos,ru Zenit,6,6,505,5.6,0,2019-2020,UEFA
Pablo Sarabia,fr Paris S-G,9,5,406,4.5,2,2019-2020,UEFA
Marcelo Saracchi,de RB Leipzig,2,2,159,1.8,0,2019-2020,UEFA
Stefan Savi?,es Atlético Madrid,4,4,390,4.3,1,2019-2020,UEFA
Patrik Schick,de RB Leipzig,5,2,240,2.7,0,2019-2020,UEFA
Marcel Schmelzer,de Dortmund,1,0,1,0.0,0,2019-2020,UEFA
Siebe Schrijvers,be Club Brugge,4,0,80,0.9,0,2019-2020,UEFA
Nico Schulz,de Dortmund,3,3,225,2.5,0,2019-2020,UEFA
Perr Schuurs,nl Ajax,2,1,109,1.2,0,2019-2020,UEFA
Haris Seferovi?,pt Benfica,5,2,208,2.3,2,2019-2020,UEFA
Nélson Semedo,es Barcelona,7,7,630,7.0,0,2019-2020,UEFA
Rúben Semedo,gr Olympiacos,6,6,540,6.0,2,2019-2020,UEFA
Stefano Sensi,it Inter,3,2,191,2.1,0,2019-2020,UEFA
Jean Seri,tr Galatasaray,6,6,474,5.3,0,2019-2020,UEFA
Ryan Sessegnon,eng Tottenham,3,2,196,2.2,1,2019-2020,UEFA
Petr Šev?ík,cz Slavia Prague,5,5,450,5.0,0,2019-2020,UEFA
Xherdan Shaqiri,eng Liverpool,1,0,4,0.0,0,2019-2020,UEFA
Oleg Shatov,ru Zenit,4,3,233,2.6,0,2019-2020,UEFA
Danylo Sikan,ua Shakhtar,1,0,1,0.0,0,2019-2020,UEFA
Bernardo Silva,eng Manchester City,7,5,435,4.8,0,2019-2020,UEFA
David Silva,eng Manchester City,4,1,127,1.4,0,2019-2020,UEFA
,,,,,,,2019-2020,UEFA
Rafa Silva,pt Benfica,3,2,124,1.4,1,2019-2020,UEFA
Thiago Silva,fr Paris S-G,9,9,810,9.0,0,2019-2020,UEFA
Daley Sinkgraven,de Leverkusen,2,1,101,1.1,0,2019-2020,UEFA
Moussa Sissoko,eng Tottenham,6,4,419,4.7,0,2019-2020,UEFA
Mario Šitum,hr Dinamo Zagreb,1,0,1,0.0,0,2019-2020,UEFA
Oliver Skipp,eng Tottenham,2,0,31,0.3,0,2019-2020,UEFA
Milan Škoda,cz Slavia Prague,2,1,72,0.8,0,2019-2020,UEFA
Milan Škriniar,it Inter,6,6,540,6.0,0,2019-2020,UEFA
Igor Smolnikov,ru Zenit,3,2,138,1.5,0,2019-2020,UEFA
Fyodor Smolov,ru Loko Moscow,4,2,202,2.2,0,2019-2020,UEFA
Eduard Sobol,be Club Brugge,3,3,259,2.9,0,2019-2020,UEFA
Carlos Soler,es Valencia,5,4,392,4.4,1,2019-2020,UEFA
Manor Solomon,ua Shakhtar,5,1,138,1.5,2,2019-2020,UEFA
Tomáš Sou?ek,cz Slavia Prague,6,6,540,6.0,2,2019-2020,UEFA
Adama Soumaoro,fr Lille,1,1,88,1.0,0,2019-2020,UEFA
Boubakary Soumaré,fr Lille,6,6,526,5.8,0,2019-2020,UEFA
Marco Sportiello,it Atalanta,2,2,180,2.0,0,2019-2020,UEFA
Nicolae Stanciu,cz Slavia Prague,6,6,457,5.1,0,2019-2020,UEFA
Cican Stankovic,at RB Salzburg,4,4,302,3.4,0,2019-2020,UEFA
Taras Stepanenko,ua Shakhtar,6,6,539,6.0,0,2019-2020,UEFA
Raheem Sterling,eng Manchester City,9,6,601,6.7,6,2019-2020,UEFA
Petar Stojanovi?,hr Dinamo Zagreb,6,6,505,5.6,0,2019-2020,UEFA
John Stones,eng Manchester City,1,0,50,0.6,0,2019-2020,UEFA
Luis Suárez,es Barcelona,7,6,567,6.3,5,2019-2020,UEFA
Niklas Süle,de Bayern Munich,6,2,334,3.7,0,2019-2020,UEFA
,,,,,,,2019-2020,UEFA
Aleksei Sutormin,ru Zenit,2,0,27,0.3,0,2019-2020,UEFA
Wojciech Szcz?sny,it Juventus,7,7,630,7.0,0,2019-2020,UEFA
Dominik Szoboszlai,at RB Salzburg,5,5,389,4.3,1,2019-2020,UEFA
Adel Taarabt,pt Benfica,4,4,360,4.0,0,2019-2020,UEFA
Dušan Tadi?,nl Ajax,6,6,540,6.0,0,2019-2020,UEFA
Nicolás Tagliafico,nl Ajax,6,6,538,6.0,1,2019-2020,UEFA
Jonathan Tah,de Leverkusen,5,5,450,5.0,0,2019-2020,UEFA
Taison,ua Shakhtar,5,5,450,5.0,0,2019-2020,UEFA
Laco Takács,cz Slavia Prague,2,1,89,1.0,0,2019-2020,UEFA
Adrien Tameze,it Atalanta,2,0,9,0.1,0,2019-2020,UEFA
Japhet Tanganga,eng Tottenham,1,1,90,1.0,0,2019-2020,UEFA
Percy Tau,be Club Brugge,3,3,237,2.6,0,2019-2020,UEFA
David Tavares,pt Benfica,1,0,24,0.3,0,2019-2020,UEFA
Tomás Tavares,pt Benfica,5,5,450,5.0,0,2019-2020,UEFA
Stanislav Tecl,cz Slavia Prague,3,1,137,1.5,0,2019-2020,UEFA
Marc-André ter Stegen,es Barcelona,8,8,720,8.0,0,2019-2020,UEFA
Martin Terrier,fr Lyon,5,3,240,2.7,1,2019-2020,UEFA
Tetê,ua Shakhtar,3,2,155,1.7,1,2019-2020,UEFA
Kenny Tete,fr Lyon,5,1,145,1.6,0,2019-2020,UEFA
Kévin Théophile-Catherine,hr Dinamo Zagreb,5,5,435,4.8,0,2019-2020,UEFA
Jean-Clair Todibo,es Barcelona,1,1,90,1.0,0,2019-2020,UEFA
Karl Toko Ekambi,fr Lyon,4,4,283,3.1,0,2019-2020,UEFA
Corentin Tolisso,de Bayern Munich,10,3,346,3.8,3,2019-2020,UEFA
Rafael Tolói,it Atalanta,7,7,630,7.0,0,2019-2020,UEFA
Tomané,rs Red Star,3,3,208,2.3,0,2019-2020,UEFA
,,,,,,,2019-2020,UEFA
Raúl de Tomás,pt Benfica,4,1,122,1.4,1,2019-2020,UEFA
Fikayo Tomori,eng Chelsea,4,4,360,4.0,0,2019-2020,UEFA
Vasilis Torosidis,gr Olympiacos,1,1,90,1.0,0,2019-2020,UEFA
Ferrán Torres,es Valencia,6,5,478,5.3,2,2019-2020,UEFA
Lucas Tousart,fr Lyon,7,7,603,6.7,1,2019-2020,UEFA
Bertrand Traoré,fr Lyon,5,2,231,2.6,1,2019-2020,UEFA
Ibrahim Traoré,cz Slavia Prague,4,2,167,1.9,0,2019-2020,UEFA
Kieran Trippier,es Atlético Madrid,6,6,540,6.0,0,2019-2020,UEFA
Kostas Tsimikas,gr Olympiacos,6,6,540,6.0,0,2019-2020,UEFA
Andreas Ulmer,at RB Salzburg,6,6,540,6.0,1,2019-2020,UEFA
Samuel Umtiti,es Barcelona,3,3,270,3.0,0,2019-2020,UEFA
Dayot Upamecano,de RB Leipzig,8,8,659,7.3,0,2019-2020,UEFA
Jere Uronen,be Genk,3,3,270,3.0,0,2019-2020,UEFA
Mathieu Valbuena,gr Olympiacos,3,1,105,1.2,1,2019-2020,UEFA
Borja Valero,it Inter,3,2,152,1.7,0,2019-2020,UEFA
Albert Vallci,at RB Salzburg,1,0,2,0.0,0,2019-2020,UEFA
Manu Vallejo,es Valencia,2,0,74,0.8,0,2019-2020,UEFA
Federico Valverde,es Real Madrid,6,4,348,3.9,0,2019-2020,UEFA
Virgil van Dijk,eng Liverpool,8,8,750,8.3,0,2019-2020,UEFA
Hans Vanaken,be Club Brugge,6,6,540,6.0,1,2019-2020,UEFA
Maarten Vandevoordt,be Genk,1,1,90,1.0,0,2019-2020,UEFA
Raphaël Varane,es Real Madrid,8,8,720,8.0,0,2019-2020,UEFA
Lucas Vázquez,es Real Madrid,4,1,102,1.1,0,2019-2020,UEFA
Matías Vecino,it Inter,3,3,236,2.6,1,2019-2020,UEFA
Joël Veltman,nl Ajax,5,5,426,4.7,0,2019-2020,UEFA
,,,,,,,2019-2020,UEFA
Marco Verratti,fr Paris S-G,9,6,589,6.5,0,2019-2020,UEFA
Jan Vertonghen,eng Tottenham,3,3,252,2.8,0,2019-2020,UEFA
Arturo Vidal,es Barcelona,7,4,422,4.7,0,2019-2020,UEFA
Carlos Vinícius,pt Benfica,5,3,322,3.6,1,2019-2020,UEFA
Vitolo,es Atlético Madrid,4,1,119,1.3,0,2019-2020,UEFA
Odisseas Vlachodimos,pt Benfica,6,6,540,6.0,0,2019-2020,UEFA
Thibault Vlietinck,be Club Brugge,1,1,69,0.8,0,2019-2020,UEFA
Kevin Volland,de Leverkusen,6,5,459,5.1,1,2019-2020,UEFA
Ruud Vormer,be Club Brugge,3,3,263,2.9,0,2019-2020,UEFA
Stefan de Vrij,it Inter,6,6,540,6.0,0,2019-2020,UEFA
Šime Vrsaljko,es Atlético Madrid,2,1,120,1.3,0,2019-2020,UEFA
Aleksa Vukanovi?,rs Red Star,4,2,171,1.9,0,2019-2020,UEFA
Miloš Vuli?,rs Red Star,4,1,185,2.1,1,2019-2020,UEFA
Moussa Wagué,es Barcelona,2,1,91,1.0,0,2019-2020,UEFA
Kyle Walker,eng Manchester City,6,5,443,4.9,0,2019-2020,UEFA
Kyle Walker-Peters,eng Tottenham,1,1,90,1.0,0,2019-2020,UEFA
Victor Wanyama,eng Tottenham,1,0,10,0.1,0,2019-2020,UEFA
Daniel Wass,es Valencia,8,8,720,8.0,1,2019-2020,UEFA
Julian Weigl,de Dortmund,4,4,340,3.8,0,2019-2020,UEFA
Mitchell Weiser,de Leverkusen,3,3,270,3.0,0,2019-2020,UEFA
Wendell,de Leverkusen,4,4,350,3.9,0,2019-2020,UEFA
Timo Werner,de RB Leipzig,8,7,579,6.4,4,2019-2020,UEFA
Georginio Wijnaldum,eng Liverpool,8,5,552,6.1,2,2019-2020,UEFA
Willian,eng Chelsea,7,6,528,5.9,1,2019-2020,UEFA
Harry Winks,eng Tottenham,5,5,440,4.9,0,2019-2020,UEFA
,,,,,,,2019-2020,UEFA
Axel Witsel,de Dortmund,7,7,610,6.8,0,2019-2020,UEFA
Maximilian Wöber,at RB Salzburg,6,6,540,6.0,0,2019-2020,UEFA
Xeka,fr Lille,3,1,120,1.3,0,2019-2020,UEFA
Erencan Yardimci,tr Galatasaray,1,0,1,0.0,0,2019-2020,UEFA
Yusuf Yaz?c?,fr Lille,6,4,371,4.1,0,2019-2020,UEFA
Amin Younes,it Napoli,1,0,6,0.1,0,2019-2020,UEFA
Abdulla Yusuf Helal,cz Slavia Prague,2,0,38,0.4,0,2019-2020,UEFA
Dan-Axel Zagadou,de Dortmund,5,3,286,3.2,0,2019-2020,UEFA
Duván Zapata,it Atalanta,5,3,323,3.6,1,2019-2020,UEFA
Jaroslav Zelený,cz Slavia Prague,4,1,112,1.2,0,2019-2020,UEFA
Rifat Zhemaletdinov,ru Loko Moscow,5,5,356,4.0,0,2019-2020,UEFA
Yuri Zhirkov,ru Zenit,2,1,73,0.8,0,2019-2020,UEFA
Piotr Zieli?ski,it Napoli,7,6,519,5.8,0,2019-2020,UEFA
Oleksandr Zinchenko,eng Manchester City,2,1,115,1.3,0,2019-2020,UEFA
Joshua Zirkzee,de Bayern Munich,1,0,5,0.1,0,2019-2020,UEFA
Hakim Ziyech,nl Ajax,6,6,495,5.5,2,2019-2020,UEFA
Kurt Zouma,eng Chelsea,7,7,612,6.8,0,2019-2020,UEFA
Marko ?ira,hr Dinamo Zagreb,3,0,62,0.7,0,2019-2020,UEFA
Pape Abou Cissé,gr Olympiacos,6,5,451,5.0,0,2020-2021,UEFA
Tammy Abraham,eng Chelsea,5,3,230,2.6,1,2020-2021,UEFA
Francesco Acerbi,it Lazio,8,8,720,8.0,0,2020-2021,UEFA
Marcos Acuña,es Sevilla,4,3,327,3.6,0,2020-2021,UEFA
Tyler Adams,de RB Leipzig,6,2,289,3.2,0,2020-2021,UEFA
Karim Adeyemi,at RB Salzburg,3,0,52,0.6,1,2020-2021,UEFA
Adrián,eng Liverpool,1,1,90,1.0,0,2020-2021,UEFA
Nayef Aguerd,fr Rennes,4,2,275,3.1,0,2020-2021,UEFA
Sergio Agüero,eng Manchester City,7,1,152,1.7,2,2020-2021,UEFA
Manuel Akanji,de Dortmund,7,7,630,7.0,0,2020-2021,UEFA
Marley Aké,fr Marseille,4,0,39,0.4,0,2020-2021,UEFA
Nathan Aké,eng Manchester City,2,2,180,2.0,0,2020-2021,UEFA
Jean-Daniel Akpa-Akpro,it Lazio,8,2,289,3.2,1,2020-2021,UEFA
David Alaba,de Bayern Munich,9,9,810,9.0,0,2020-2021,UEFA
Jordi Alba,es Barcelona,7,6,485,5.4,0,2020-2021,UEFA
Luis Alberto,it Lazio,6,6,475,5.3,0,2020-2021,UEFA
Thiago Alcántara,eng Liverpool,4,2,222,2.5,0,2020-2021,UEFA
Danijel Aleksi?,tr Ba?ak?ehir,3,1,108,1.2,0,2020-2021,UEFA
Carles Aleñá,es Barcelona,3,1,124,1.4,0,2020-2021,UEFA
Trent Alexander-Arnold,eng Liverpool,8,8,711,7.9,0,2020-2021,UEFA
Hasan Ali Kald?r?m,tr Ba?ak?ehir,3,1,112,1.2,0,2020-2021,UEFA
Alisson,eng Liverpool,7,7,630,7.0,0,2020-2021,UEFA
Marcos Alonso,eng Chelsea,2,2,179,2.0,0,2020-2021,UEFA
